"id","name","previewSaved","hasPythonCode","hasRCode","dataFileCount","svgLength","url"
"6627b1edd0977e6439d4a203","横向柱状图-单变量","yes","yes","yes","1","7014","https://www.bioinforw.com/ldm/webdraw/?id=6627b1edd0977e6439d4a203"
"6628c371600adfbc6f08c696","柱状图-单变量","yes","yes","yes","1","7613","https://www.bioinforw.com/ldm/webdraw/?id=6628c371600adfbc6f08c696"
"662f511a8f59c63d4bb85dc3","箱线图-无分组-散点-显著字母","yes","yes","yes","2","22406","https://www.bioinforw.com/ldm/webdraw/?id=668159fd4a54efd0d6916850"
"6633138e9f1a544b6ce93d0b","饼图-自动顺序","yes","yes","yes","1","5710","https://www.bioinforw.com/ldm/webdraw/?id=6633138e9f1a544b6ce93d0b"
"66458593b60b5302731c7a30","横向堆叠图-单组","yes","yes","yes","1","19662","https://www.bioinforw.com/ldm/webdraw/?id=66458593b60b5302731c7a30"
"6658583892a6397d0c3276ca","饼图-矩阵","yes","yes","yes","1","18310","https://www.bioinforw.com/ldm/webdraw/?id=6658583892a6397d0c3276ca"
"665d618c55ee1eb3b08a6856","堆叠图-多组-网格线","yes","yes","yes","1","29750","https://www.bioinforw.com/ldm/webdraw/?id=665d618c55ee1eb3b08a6856"
"666839fbc67aa1aeb14c22b5","横向柱状图-单变量-左右双向","yes","yes","yes","1","4606","https://www.bioinforw.com/ldm/webdraw/?id=666839fbc67aa1aeb14c22b5"
"66695112119b3e6624619973","柱状图-多变量-误差线-显著星号","yes","yes","yes","2","15490","https://www.bioinforw.com/ldm/webdraw/?id=66695112119b3e6624619973"
"666a67721101de2a56bc2eee","柱状图-多变量-正负双向","yes","yes","yes","1","7190","https://www.bioinforw.com/ldm/webdraw/?id=666a67721101de2a56bc2eee"
"666a9c36698df4eebb5a9f81","组合图-面积图-箱线图-散点图","yes","yes","yes","3","83989","https://www.bioinforw.com/ldm/webdraw/?id=693005ae56824bcc74877b22"
"666aba851a9a6da4e94c1c1d","箱线图-无分组-散点-p值","yes","yes","yes","2","12162","https://www.bioinforw.com/ldm/webdraw/?id=666aba851a9a6da4e94c1c1d"
"6672bad4531df62c7a066996","横向大头针图-无分组-等大圈","yes","yes","yes","1","8274","https://www.bioinforw.com/ldm/webdraw/?id=6672bad4531df62c7a066996"
"6672d7f54b978b43a67a415b","大头针图-分组-等大圈","yes","yes","yes","1","15819","https://www.bioinforw.com/ldm/webdraw/?id=6672d7f54b978b43a67a415b"
"66736add4b978b43a67a42c4","饼图-甜甜圈","yes","yes","yes","1","4337","https://www.bioinforw.com/ldm/webdraw/?id=66736add4b978b43a67a42c4"
"6676aef8a7c8e1374434bb62","横向堆叠图-多组-左右双向-不同变量","yes","yes","yes","1","20338","https://www.bioinforw.com/ldm/webdraw/?id=6753a1eaa9a528dc30e3977e"
"667cd1817addf6468a7b5d6e","折线图-无分组-散点拟合线-置信区间","yes","yes","yes","3","8860","https://www.bioinforw.com/ldm/webdraw/?id=667cd1817addf6468a7b5d6e"
"667cdfd87addf6468a7b5f66","折线图-有分组-散点拟合线-置信区间-信息标注","yes","yes","yes","4","24943","https://www.bioinforw.com/ldm/webdraw/?id=667cdfd87addf6468a7b5f66"
"667d101971c06acd9bd3c9b1","折线图-无分组-散点拟合线-统计柱状图","yes","yes","yes","2","14309","https://www.bioinforw.com/ldm/webdraw/?id=667d101971c06acd9bd3c9b1"
"667d6c33837ae2465043c6da","云雨图-不分组-纵向","yes","yes","yes","3","46639","https://www.bioinforw.com/ldm/webdraw/?id=6777a96d53eb9f93596d6be4"
"667e4231db91fef406caa33d","蜂群图","yes","yes","yes","1","17435","https://www.bioinforw.com/ldm/webdraw/?id=667e4231db91fef406caa33d"
"667ee30727e1fe64e6bc6dd6","小提琴图-不分组","yes","yes","yes","1","8421","https://www.bioinforw.com/ldm/webdraw/?id=6777459f53eb9f93596d4c33"
"668159fd4a54efd0d6916850","箱线图-无分组-散点-显著字母","yes","yes","yes","2","22406","https://www.bioinforw.com/ldm/webdraw/?id=668159fd4a54efd0d6916850"
"6685058897141f45bb9fec49","柱状图-单变量-误差线","yes","yes","yes","1","7756","https://www.bioinforw.com/ldm/webdraw/?id=6685058897141f45bb9fec49"
"668555c131239542b60568ba","散点图-横纵轴数值-分组-圈内文本","yes","yes","yes","1","18014","https://www.bioinforw.com/ldm/webdraw/?id=680982054f3ff56232c340f4"
"668797dd3608d2fc7bdd455f","折线图-无分组-散点-误差棒","yes","yes","yes","1","11367","https://www.bioinforw.com/ldm/webdraw/?id=668e71b21e7a0d382f5fa7f0"
"668882533608d2fc7bddff93","玉玦图-多变量","yes","yes","yes","1","12291","https://www.bioinforw.com/ldm/webdraw/?id=668882533608d2fc7bddff93"
"668bb701f7fccc764535b687","热图-有分类条","yes","yes","yes","1","128610","https://www.bioinforw.com/ldm/webdraw/?id=668bb701f7fccc764535b687"
"668c6de46c40df40b314ebb7","蜂群图","yes","yes","yes","1","17435","https://www.bioinforw.com/ldm/webdraw/?id=667e4231db91fef406caa33d"
"668e71b21e7a0d382f5fa7f0","折线图-无分组-散点-误差棒","yes","yes","yes","1","11367","https://www.bioinforw.com/ldm/webdraw/?id=668e71b21e7a0d382f5fa7f0"
"669082186d7e1596e33b6b56","环形热图","yes","yes","yes","1","192953","https://www.bioinforw.com/ldm/webdraw/?id=669082186d7e1596e33b6b56"
"6694bb381d0e0391ccd00e87","折线图-无分组-散点拟合线-统计柱状图","yes","yes","yes","2","14309","https://www.bioinforw.com/ldm/webdraw/?id=667d101971c06acd9bd3c9b1"
"6697d5003d4b3662f9fac6ad","折线图-有分组-线多样式","yes","yes","yes","1","8378","https://www.bioinforw.com/ldm/webdraw/?id=6697d5003d4b3662f9fac6ad"
"6699f06052361d679a078102","柱状图-单变量-误差线-渐变色","yes","yes","yes","1","10823","https://www.bioinforw.com/ldm/webdraw/?id=6699f06052361d679a078102"
"669aeaee52361d679a09fec9","柱状图-单变量-误差线-显著星号-两组","yes","yes","yes","2","5660","https://www.bioinforw.com/ldm/webdraw/?id=66a9b20bf00c758ce03e86cf"
"669ba02e184d971e874c6301","柱状图-多变量-误差线","yes","yes","yes","1","7118","https://www.bioinforw.com/ldm/webdraw/?id=669ba02e184d971e874c6301"
"669ba4dac8a31dbcbc7bde89","柱状图-多变量-误差线-显著星号","yes","yes","yes","2","14602","https://www.bioinforw.com/ldm/webdraw/?id=669ba4dac8a31dbcbc7bde89"
"669fbedf2d679386c4e3b19a","饼图-图例","yes","yes","yes","1","5488","https://www.bioinforw.com/ldm/webdraw/?id=669fbedf2d679386c4e3b19a"
"66a0610dc846c0bf2409f8ff","气泡图-纵轴分类横轴数值-渐变色","yes","yes","yes","1","21409","https://www.bioinforw.com/ldm/webdraw/?id=66a0610dc846c0bf2409f8ff"
"66a07147c846c0bf240a376b","气泡图-纵轴分类横轴数值-自动计算负logP值","yes","yes","yes","1","76047","https://www.bioinforw.com/ldm/webdraw/?id=66a07147c846c0bf240a376b"
"66a114afc846c0bf240ab849","极坐标散点图-角度轴分类半径轴数值-分组","yes","yes","yes","1","81653","https://www.bioinforw.com/ldm/webdraw/?id=66a114afc846c0bf240ab849"
"66a1e17083a6e54bfea231f1","极坐标堆叠图-多组","yes","yes","yes","1","88894","https://www.bioinforw.com/ldm/webdraw/?id=66a1e17083a6e54bfea231f1"
"66a2265d83a6e54bfea23a7c","极坐标堆叠图-单组-名称贴柱子","yes","yes","yes","1","27502","https://www.bioinforw.com/ldm/webdraw/?id=66a2265d83a6e54bfea23a7c"
"66a4445e39235be1dd448364","三角热图-显示数值","yes","yes","yes","1","108015","https://www.bioinforw.com/ldm/webdraw/?id=66a4445e39235be1dd448364"
"66a5faf760d953862d3ff696","堆叠图-单组","yes","yes","yes","1","67495","https://www.bioinforw.com/ldm/webdraw/?id=66a5faf760d953862d3ff696"
"66a9b20bf00c758ce03e86cf","柱状图-单变量-误差线-显著星号-两组","yes","yes","yes","2","5660","https://www.bioinforw.com/ldm/webdraw/?id=66a9b20bf00c758ce03e86cf"
"66a9da12f00c758ce03e87d9","堆叠图-多组","yes","yes","yes","1","72819","https://www.bioinforw.com/ldm/webdraw/?id=66a9da12f00c758ce03e87d9"
"66aa0363f00c758ce03e8961","柱状图-单变量-截断轴","yes","yes","yes","1","8882","https://www.bioinforw.com/ldm/webdraw/?id=67580aca538842d3d5d8d177"
"66aae86075f3830da7050961","柱状图-多变量-误差线-有分割线","yes","yes","yes","1","23323","https://www.bioinforw.com/ldm/webdraw/?id=66cdaf56bf89ff2f8e8c5022"
"66ac2b714552a7ec5580c050","分类型热图-颜色标有无-统计百分比","yes","yes","yes","3","163837","https://www.bioinforw.com/ldm/webdraw/?id=66ac2b714552a7ec5580c050"
"66ad6628a3e8c0d845e3b310","复合饼图-环绕小饼图","yes","yes","yes","1","20333","https://www.bioinforw.com/ldm/webdraw/?id=676237df89cb0d2350dda22a"
"66b08d1df5382dad1050fcbe","环形柱状图-多变量","yes","yes","yes","1","20951","https://www.bioinforw.com/ldm/webdraw/?id=66b08d1df5382dad1050fcbe"
"66b486871ed116b7326bf8d0","折线图-无分组-散点拟合线-显示R和P值","yes","yes","yes","1","9829","https://www.bioinforw.com/ldm/webdraw/?id=66b486871ed116b7326bf8d0"
"66b4d4e0a62bc5aad627a42a","折线图-无分组-散点-面域","yes","yes","yes","1","7762","https://www.bioinforw.com/ldm/webdraw/?id=66b4d4e0a62bc5aad627a42a"
"66b567c5d978618f7525fd09","折线图-有分组-散点-空心点","yes","yes","yes","1","34746","https://www.bioinforw.com/ldm/webdraw/?id=66b567c5d978618f7525fd09"
"66b5b609d978618f7526182b","环形柱状图-单变量-同组同色","yes","yes","yes","1","17091","https://www.bioinforw.com/ldm/webdraw/?id=692295715a83abc7b49fcaf4"
"66b9b1dc0ca340783fc398c0","箱线图组合","yes","yes","yes","2","17419","https://www.bioinforw.com/ldm/webdraw/?id=66b9b1dc0ca340783fc398c0"
"66bb0080e65b64e3d7de4742","横向大头针图-无分组-大小圈-兼容负值","yes","yes","yes","1","9283","https://www.bioinforw.com/ldm/webdraw/?id=675b8d156ad24ba18dcc4d5c"
"66bc87efa6391e8168b96c84","极坐标折线图-有分组-散点","yes","yes","yes","1","21482","https://www.bioinforw.com/ldm/webdraw/?id=66bc87efa6391e8168b96c84"
"66be9fc1bc77f4488cf030bb","极坐标折线图-有分组-散点-双Y轴","yes","yes","yes","1","40490","https://www.bioinforw.com/ldm/webdraw/?id=66be9fc1bc77f4488cf030bb"
"66bf0f5b4d827e03fea3db68","折线图-有分组-点多样式","yes","yes","yes","1","27533","https://www.bioinforw.com/ldm/webdraw/?id=66bf0f5b4d827e03fea3db68"
"66c1d630d62f5aab6341aee1","折线图-有分组-散点拟合线","yes","yes","yes","2","9390","https://www.bioinforw.com/ldm/webdraw/?id=66c1d630d62f5aab6341aee1"
"66c6caf228b0b164d75c0d0f","网络图-分群-背景颜色","yes","yes","yes","2","201183","https://www.bioinforw.com/ldm/webdraw/?id=6773ac61dd64bdf050ea409e"
"66cc2e8c80c9fb61b66ad173","环形热图-向上缺口","yes","yes","yes","1","61398","https://www.bioinforw.com/ldm/webdraw/?id=66cc2e8c80c9fb61b66ad173"
"66cc7d811cedc4fc9f289534","柱状图-单变量-误差线-显著星号-散点-渐变色-两组","yes","yes","yes","3","8684","https://www.bioinforw.com/ldm/webdraw/?id=66cc7d811cedc4fc9f289534"
