group	name	x	y
1	Name1	86.06	135.14
1	Name2	57.63	105.63
1	Name3	32.79	105.31
1	Name4	62.72	119.5
1	Name5	85.91	130.82
1	Name6	43.82	105.76
1	Name7	89.86	125.75
1	Name8	76.78	131.66
1	Name9	90.43	129.05
1	Name10	74.05	129.13
2	Name1	83.7	98.4
2	Name2	89.85	76.4
2	Name3	25.77	125.45
2	Name4	88.64	82.4
2	Name5	76.4	99.56
2	Name6	22.43	127.98
2	Name7	88.05	86.84
2	Name8	90.3	79.69
2	Name9	94.7	85.66
2	Name10	77.73	98.09
3	Name1	47.27	32.17
3	Name2	76.03	52.55
3	Name3	73.79	32.69
3	Name4	47.21	41.52
3	Name5	77.24	44.31
3	Name6	74.97	46.29
3	Name7	31.27	30.73
3	Name8	70.76	34.71
3	Name9	73.87	36.91
3	Name10	57.16	38.54
4	Name1	46.55	60.23
4	Name2	21.45	63.12
4	Name3	86	50.79
4	Name4	70.28	57.57
4	Name5	94.04	33.22
4	Name6	18.88	68.64
4	Name7	44.83	58.9
4	Name8	58.54	43.38
4	Name9	76.93	45.91
4	Name10	11.89	69.27
