Sample	TypeK	TypeP	varN1	varN2	varN3	varN4	varN5	varN6	varN7	varN8	varN9	varN10	varN11	varN12	varN13
Sample1	K2	P1	0.83	0.26	0.04	-0.98	0	0.77	-0.58	0.22	0.31	-0.11	0.58	0.47	0.58
Sample2	K1	P2	-0.79	-0.22	-0.86	0.23	-0.18	-0.35	-0.23	0.76	-0.39	-0.02	-0.39	0.36	-0.24
Sample3	K1	P2	-0.97	0.04	0.28	0	-0.28	0.36	-0.73	-0.14	0.82	0.52	-0.98	0.95	0.76
Sample4	K2	P2	0	-0.01	0.31	0.87	0.9	-0.95	-0.06	-0.81	-0.31	-0.87	-0.17	0.22	-0.44
Sample5	K1	P2	0.03	-0.16	0.53	0.94	0.94	-0.48	0.78	0.79	-0.37	0.21	0.98	-0.71	0.1
Sample6	K1	P3	0.77	0.7	0.91	0.73	0.06	0.47	-0.15	0.74	0.4	0.93	-0.76	-0.31	0.44
Sample7	K1	P3	0.52	0.66	0.65	-0.8	-0.44	-0.46	-0.32	-0.75	-0.29	0.68	0.24	-0.58	0.19
Sample8	K2	P1	0.71	0.2	-0.99	0.2	-0.3	-0.46	0.39	0.36	-0.69	-0.16	0.56	0.24	0.41
Sample9	K1	P4	0.65	-0.31	-0.99	0.05	0.45	0.7	0.17	0.72	-0.56	0.26	-0.97	0.74	0.19
Sample10	K1	P1	0.74	0.63	0.22	0.84	-0.97	-0.49	-0.51	0.82	0.54	-0.92	-0.52	0.36	-0.03
Sample11	K2	P4	-0.71	-0.49	-0.18	-0.81	-0.69	-0.65	-0.21	-0.82	-0.37	-0.82	0.34	0.84	-0.42
Sample12	K2	P4	0.03	-0.96	-0.03	-0.12	0.79	-0.08	0.84	0.15	0.15	-0.75	0.37	-0.2	-0.82
Sample13	K1	P4	0.74	-0.53	-0.16	-0.68	0.99	-0.41	-0.52	0.48	0.97	-0.14	-0.53	0.65	0.98
Sample14	K1	P2	-0.96	0.05	-0.57	0.49	0.12	0.23	-0.82	0.15	0.77	0.24	0.87	0.49	-0.33
Sample15	K1	P4	0.37	0.11	0.94	0.63	-0.87	-0.47	0.65	-0.26	-0.05	-0.5	-0.94	-0.17	0.96
Sample16	K1	P3	-0.15	0.87	-0.47	0.7	-0.14	0.16	0.5	-0.12	0.25	-0.62	-0.49	0.7	-0.86
Sample17	K1	P2	0.61	-0.63	-0.86	-0.06	0.95	-0.72	-0.35	-0.37	0.21	0.14	0.39	0.93	0.67
Sample18	K1	P3	-0.2	0.45	-0.24	-0.15	-0.33	-0.27	-0.09	-0.73	0.98	-0.94	0.44	-0.98	0.02
Sample19	K1	P2	-0.39	-0.24	-0.95	0.54	0.17	-0.67	0.37	-0.12	-0.27	-0.47	0.49	0.61	0.35
Sample20	K1	P2	0.46	0.96	-0.44	0.56	0.05	0.21	0.92	0.78	-0.68	0.06	0.93	0.81	0.86
Sample21	K1	P2	0.11	-0.36	0.24	-0.07	-0.13	0.45	0.62	0.03	-0.28	0.92	-0.27	-0.71	0.75
Sample22	K2	P1	-0.12	0.39	0.76	0.71	-0.03	0.37	0.13	-0.81	0.53	0.33	0.25	-0.59	-0.74
Sample23	K1	P1	0.29	0.26	-0.51	-0.98	0.14	0.8	-0.11	0.31	0.66	0.62	-0.57	0.63	-0.47
Sample24	K1	P1	-0.83	0.96	-0.89	-0.39	-0.17	-0.06	0.73	-0.73	-0.82	0.8	0.22	0.54	-0.63
Sample25	K2	P1	0.89	-0.21	-0.1	-0.78	-0.49	-0.18	0.07	0.42	0.35	0.28	-0.28	-0.88	0.1
Sample26	K2	P3	0.68	0.79	-0.75	0.58	-0.22	-0.07	-0.94	0.16	0.46	0.26	-0.48	-0.27	-0.41
