name	Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9
name1	0.97	0.6	-0.35	0.44	-0.88	0.96	0.97	0.96	0.98
name2	0.99	0.54	-0.42	0.51	-0.84	0.98	0.98	0.94	0.97
name3	0.99	0.55	-0.41	0.49	-0.85	0.98	0.98	0.95	0.97
name4	0.99	0.55	-0.4	0.49	-0.85	0.97	0.98	0.95	0.97
name5	0.98	0.58	-0.37	0.46	-0.87	0.97	0.97	0.96	0.98
name6	0.98	0.58	-0.38	0.46	-0.87	0.97	0.97	0.96	0.98
name7	0.98	0.57	-0.38	0.47	-0.86	0.97	0.98	0.95	0.98
name8	0.98	0.56	-0.39	0.48	-0.86	0.97	0.98	0.95	0.98
name9	0.99	0.5	-0.46	0.54	-0.82	0.99	0.99	0.93	0.96
name10	0.99	0.5	-0.46	0.54	-0.82	0.99	0.99	0.93	0.96
name11	0.99	0.51	-0.45	0.54	-0.82	0.99	0.99	0.93	0.96
name12	0.99	0.51	-0.45	0.54	-0.82	0.99	0.99	0.93	0.96
name13	0.99	0.5	-0.45	0.54	-0.82	0.99	0.99	0.93	0.96
name14	0.99	0.53	-0.43	0.52	-0.84	0.98	0.99	0.94	0.97
name15	0.99	0.52	-0.43	0.52	-0.83	0.98	0.99	0.94	0.96
name16	0.99	0.52	-0.44	0.53	-0.83	0.98	0.99	0.93	0.96
name17	0.99	0.52	-0.44	0.53	-0.83	0.98	0.99	0.93	0.96
name18	0.99	0.52	-0.44	0.53	-0.83	0.98	0.99	0.93	0.96
name19	0.99	0.51	-0.44	0.53	-0.83	0.98	0.99	0.93	0.96
name20	0.99	0.51	-0.44	0.53	-0.83	0.98	0.99	0.93	0.96
name21	0.99	0.51	-0.45	0.53	-0.83	0.98	0.99	0.93	0.96
name22	0.99	0.51	-0.45	0.53	-0.83	0.98	0.99	0.93	0.96
name23	0.99	0.51	-0.45	0.53	-0.83	0.98	0.99	0.93	0.96
name24	1	0.47	-0.49	0.57	-0.8	0.99	0.99	0.91	0.95
name25	1	0.47	-0.49	0.57	-0.8	0.99	0.99	0.91	0.95
name26	1	0.47	-0.49	0.57	-0.8	0.99	0.99	0.91	0.95
name27	1	0.47	-0.49	0.58	-0.79	0.99	1	0.91	0.94
name28	1	0.46	-0.5	0.58	-0.79	0.99	1	0.91	0.94
name29	1	0.48	-0.48	0.56	-0.81	0.99	0.99	0.92	0.95
name30	1	0.48	-0.48	0.56	-0.81	0.99	0.99	0.92	0.95
name31	-1	-0.37	0.58	-0.66	0.73	-1	-1	-0.86	-0.91
name32	-1	-0.37	0.58	-0.66	0.73	-1	-1	-0.86	-0.91
name33	-1	-0.36	0.59	-0.66	0.72	-1	-1	-0.86	-0.9
name34	-1	-0.37	0.59	-0.66	0.72	-1	-1	-0.86	-0.9
name35	-1	-0.37	0.58	-0.66	0.72	-1	-1	-0.86	-0.9
name36	-1	-0.43	0.53	-0.61	0.77	-1	-1	-0.89	-0.93
name37	-1	-0.44	0.52	-0.6	0.78	-1	-1	-0.9	-0.93
name38	-1	-0.45	0.51	-0.59	0.78	-0.99	-1	-0.9	-0.94
name39	-1	-0.45	0.51	-0.6	0.78	-0.99	-1	-0.9	-0.94
name40	-1	-0.46	0.5	-0.59	0.79	-0.99	-1	-0.9	-0.94
name41	-1	-0.45	0.51	-0.59	0.78	-0.99	-1	-0.9	-0.94
name42	-1	-0.45	0.51	-0.59	0.79	-0.99	-1	-0.9	-0.94
name43	-1	-0.45	0.51	-0.59	0.79	-0.99	-1	-0.9	-0.94
name44	-1	-0.49	0.47	-0.55	0.81	-0.99	-0.99	-0.92	-0.95
name45	-0.99	-0.5	0.46	-0.55	0.82	-0.99	-0.99	-0.92	-0.96
name46	-0.99	-0.5	0.46	-0.55	0.82	-0.99	-0.99	-0.92	-0.96
name47	-1	-0.48	0.48	-0.57	0.8	-0.99	-0.99	-0.91	-0.95
name48	-1	-0.48	0.48	-0.56	0.81	-0.99	-0.99	-0.92	-0.95
name49	-1	-0.48	0.48	-0.56	0.8	-0.99	-0.99	-0.92	-0.95
name50	-1	-0.48	0.48	-0.56	0.8	-0.99	-0.99	-0.92	-0.95
name51	-1	-0.47	0.49	-0.57	0.8	-0.99	-0.99	-0.91	-0.95
name52	-1	-0.46	0.49	-0.58	0.79	-0.99	-1	-0.91	-0.94
