Class	log2FC	rawpval
AAA	2.4079	2.41E-16
AAA	2.3823	2.07E-09
AAA	2.1516	4.48E-12
AAA	2.1285	7.10E-12
AAA	1.7114	2.80E-14
AAA	1.2827	9.63E-10
AAA	1.161	2.19E-12
AAA	1.0292	0.0011157
AAA	-1.1137	1.91E-12
AAA	-1.1357	3.68E-13
AAA	-1.2803	8.00E-07
AAA	-1.4041	9.69E-09
AAA	-1.4896	2.31E-14
AAA	-1.5169	4.13E-11
AAA	-1.5287	2.90E-08
AAA	-1.6334	2.67E-05
AAA	-1.8165	1.36E-08
AAA	-1.8424	5.36E-06
AAA	-1.94	3.38E-13
AAA	-1.9677	2.58E-14
AAA	-2.0841	0.00025573
AAA	-2.1331	1.82E-12
AAA	-2.2616	5.71E-15
AAA	-2.2806	5.80E-15
AAA	-2.4247	1.12E-11
AAA	-2.6925	9.79E-08
AAA	-3.8197	0.00066792
AAA	-3.8877	6.49E-19
BBB	1.2686	6.21E-07
BBB	-1.484	4.54E-07
CCC	2.4398	1.39E-12
CCC	2.1597	1.21E-10
CCC	1.6072	3.31E-08
CCC	1.1972	1.71E-09
CCC	-1.1835	6.42E-07
CCC	-1.3138	4.75E-07
DDD	7.7911	9.04E-12
DDD	3.0159	5.34E-19
DDD	2.8526	1.93E-14
DDD	2.439	1.82E-17
DDD	2.427	1.84E-14
DDD	2.2737	5.25E-16
DDD	2.1442	7.94E-10
DDD	2.1105	1.60E-14
DDD	1.9322	3.05E-17
DDD	1.907	4.65E-08
DDD	1.8862	7.21E-14
DDD	1.8176	1.64E-13
DDD	1.8117	7.62E-10
DDD	1.8113	4.74E-16
DDD	1.7568	1.39E-13
DDD	1.731	1.96E-10
DDD	1.7143	5.99E-13
DDD	1.7122	5.94E-08
DDD	1.5911	1.00E-10
DDD	1.5164	4.36E-09
DDD	1.4362	0.00061202
DDD	1.4167	0.00039333
DDD	1.3942	3.97E-06
DDD	1.2593	1.00E-05
DDD	1.229	1.43E-11
DDD	1.1912	1.43E-13
DDD	1.1793	0.00012143
DDD	1.1737	3.35E-09
DDD	1.1702	2.13E-06
DDD	1.1274	1.77E-07
DDD	1.1126	2.04E-06
DDD	1.1111	5.37E-08
DDD	1.083	4.27E-08
DDD	1.0618	9.56E-14
DDD	1.0616	2.31E-07
DDD	-1.0606	6.96E-12
DDD	-1.0996	4.13E-09
DDD	-1.1028	1.98E-05
DDD	-1.149	7.99E-10
DDD	-1.2003	2.39E-10
DDD	-1.2446	3.08E-08
DDD	-1.2565	1.10E-07
DDD	-1.2606	5.92E-09
DDD	-1.2629	2.33E-10
DDD	-1.2696	3.75E-09
DDD	-1.3017	8.69E-12
DDD	-1.3043	1.08E-05
DDD	-1.3392	1.49E-07
DDD	-1.3872	0.00012463
DDD	-1.3957	2.33E-12
DDD	-1.4173	3.92E-13
DDD	-1.4623	1.99E-07
DDD	-1.468	2.46E-08
DDD	-1.4974	5.12E-14
DDD	-1.5221	1.33E-14
DDD	-1.5416	7.13E-12
DDD	-1.548	3.47E-10
DDD	-1.5505	2.61E-08
DDD	-1.6098	4.19E-14
DDD	-1.6969	3.49E-06
DDD	-1.7102	2.70E-07
DDD	-1.7426	5.35E-08
DDD	-1.7491	2.54E-10
DDD	-1.77	1.58E-06
DDD	-1.9113	4.71E-09
DDD	-2.0403	2.58E-07
DDD	-2.0406	8.28E-17
DDD	-2.1194	2.12E-11
EEE	3.6971	8.38E-13
EEE	3.2773	9.67E-16
EEE	3.1722	1.29E-11
EEE	3.1705	7.93E-17
EEE	3.1672	1.03E-15
EEE	3.0457	2.70E-07
EEE	3.0363	1.33E-18
EEE	3.028	7.18E-18
EEE	2.8307	8.92E-16
EEE	2.7285	2.84E-10
EEE	2.6375	2.42E-16
EEE	2.5466	7.38E-15
EEE	2.4198	2.07E-16
EEE	2.4174	1.29E-16
EEE	2.314	2.38E-09
EEE	2.2921	3.44E-16
EEE	2.246	2.18E-12
EEE	2.2066	4.35E-10
EEE	2.2066	4.35E-10
EEE	2.1561	6.50E-16
EEE	2.1373	9.27E-10
EEE	2.114	4.65E-15
EEE	2.1105	1.60E-14
EEE	2.1008	2.40E-12
EEE	2.0689	6.10E-13
