group	name	value
group1	name1	0.055
group1	name2	0.06
group1	name3	0.282
group1	name4	0.418
group1	name5	0.602
group1	name6	0.082
group1	name7	0.43
group1	name8	0.592
group1	name9	0.002
group1	name10	0.491
group1	name11	0.02
group1	name12	0.068
group1	name13	1.13
group1	name14	0.729
group1	name15	0.087
group1	name16	0.605
group1	name17	0.958
group1	name18	0.217
group1	name19	0.437
group1	name20	0.977
group1	name21	0.147
group1	name22	0.062
group1	name23	0.494
group1	name24	1.286
group1	name25	0.164
group1	name26	0.377
group1	name27	1.337
group1	name28	0.002
group1	name29	0.571
group1	name30	0.427
group1	name31	0.541
group1	name32	0.615
group1	name33	0.945
group1	name34	0.256
group1	name35	0.568
group1	name36	0.629
group1	name37	0.315
group1	name38	0.067
group1	name39	1.924
group1	name40	0.535
group1	name41	1.056
group1	name42	0.101
group1	name43	0.321
group1	name44	1.071
group1	name45	1.216
group1	name46	0.501
group1	name47	1.196
group1	name48	0.251
group1	name49	0.632
group1	name50	0.143
group1	name51	0.031
group1	name52	0.89
group2	name53	2.645
group2	name54	0.023
group2	name55	1.691
group2	name56	1.5
group2	name57	0.245
group2	name58	0.009
group2	name59	0.123
group2	name60	0.361
group2	name61	0.354
group2	name62	0.595
group2	name63	0.236
group2	name64	0.01
group2	name65	0.631
group2	name66	0.993
group2	name67	0.27
group2	name68	0.089
group2	name69	1.544
group2	name70	1.254
group2	name71	0.929
group2	name72	0.95
group2	name73	0.192
group2	name74	0.186
group2	name75	0.253
group2	name76	0.208
group2	name77	0.717
group2	name78	0.821
group2	name79	0.343
group2	name80	0.27
group2	name81	0.286
group2	name82	0.382
group2	name83	0.078
group2	name84	0.511
group2	name85	0.912
group2	name86	0.297
group2	name87	0.007
group2	name88	1.837
group2	name89	1.57
group2	name90	0.502
group2	name91	0.525
group2	name92	0.092
group2	name93	0.085
group2	name94	0.906
group2	name95	0.307
group2	name96	0.151
group2	name97	0.175
group2	name98	0.525
group2	name99	0.164
group2	name100	0.163
group2	name101	0.685
group2	name102	0.843
group2	name103	0.561
group2	name104	0.015
group2	name105	0.304
group2	name106	0.96
group2	name107	0.576
group2	name108	0.095
group2	name109	0.214
group2	name110	0.707
group2	name111	0.573
group2	name112	0.939
group2	name113	0.328
group2	name114	2.936
group2	name115	0.505
group2	name116	0.637
group2	name117	0.36
group2	name118	0.44
group2	name119	0.053
group2	name120	0.824
group2	name121	1.142
group2	name122	0.762
group2	name123	0.67
group2	name124	2.007
group2	name125	0.291
group2	name126	1.024
group2	name127	0.174
group2	name128	0.453
group2	name129	1.505
group2	name130	0.067
group2	name131	0.34
group2	name132	0.074
group2	name133	0.42
group2	name134	0.25
group2	name135	0.017
group2	name136	0.303
group2	name137	0.426
group2	name138	0.199
group2	name139	0.189
group2	name140	0.384
group2	name141	0.199
group2	name142	1.437
group2	name143	2.24
group2	name144	0.223
group2	name145	1.024
group2	name146	0.533
group2	name147	0.571
group2	name148	0.067
group2	name149	1.632
group5	name150	1.098
group5	name151	0.046
group5	name152	0.496
group5	name153	0.421
group5	name154	0.06
group5	name155	0.49
group5	name156	0.112
group5	name157	1.214
group5	name158	0.181
group5	name159	1.547
group5	name160	0.921
group5	name161	0.342
group5	name162	0.187
group5	name163	1.093
group5	name164	0.438
group5	name165	0.294
group5	name166	0.272
group5	name167	0.27
group5	name168	0.09
group5	name169	0.047
group5	name170	0.943
group5	name171	0.268
group5	name172	0.128
group5	name173	0.481
group5	name174	0.36
group5	name175	0.055
group5	name176	0.873
group5	name177	1.397
group5	name178	0.304
group5	name179	0.008
group5	name180	1.142
group5	name181	0.052
group5	name182	0.177
group5	name183	0.532
group5	name184	1.197
group5	name185	0.04
group5	name186	0.292
group5	name187	0.46
group5	name188	0.767
group5	name189	3.596
group5	name190	1.39
group5	name191	0.55
group5	name192	0.823
group5	name193	0.358
group5	name194	0.159
group5	name195	0.592
group5	name196	0.248
group5	name197	0.085
group5	name198	0.358
group5	name199	0.069
group5	name200	0.072
group5	name201	0.064
group5	name202	1.757
group5	name203	0.179
group5	name204	0.361
group5	name205	0.055
group5	name206	0.725
group3	name207	0.21
group3	name208	1.2
group3	name209	0.249
group3	name210	0.418
group3	name211	0.888
group3	name212	0.045
group3	name213	1.041
group3	name214	1.546
group3	name215	0.681
group3	name216	2.002
group3	name217	0.377
group3	name218	0.086
group3	name219	0.098
group3	name220	0.819
group3	name221	1.634
group3	name222	0.709
group3	name223	0.079
group3	name224	0.197
group3	name225	0.105
group3	name226	1.311
group3	name227	0.341
group3	name228	0.219
group3	name229	1.67
group3	name230	0.152
group3	name231	0.267
group3	name232	0.211
group3	name233	0.134
group3	name234	0.165
group3	name235	0.14
group3	name236	0.267
group3	name237	0.096
group3	name238	0.551
group3	name239	0.17
group3	name240	0.16
group3	name241	0.184
group3	name242	0.596
group3	name243	0.464
group3	name244	0.61
group3	name245	0.023
group3	name246	1.133
group3	name247	0.012
group3	name248	0.115
group3	name249	0.137
group3	name250	0.13
group3	name251	0.052
group3	name252	0.128
group3	name253	0.135
group3	name254	0.31
group3	name255	0.105
group3	name256	0.555
group3	name257	0.17
group3	name258	0.883
group3	name259	0.308
group3	name260	0.083
group3	name261	0.273
group3	name262	0.243
group3	name263	0.151
group3	name264	0.866
group3	name265	0.665
group3	name266	0.055
group3	name267	0.343
group3	name268	0.199
group3	name269	0.05
group3	name270	0.158
group3	name271	0.997
group3	name272	0.098
group3	name273	0.159
group4	name274	0.041
group4	name275	0.433
group4	name276	0.226
group4	name277	0.815
group4	name278	2.395
group4	name279	0.589
group4	name280	0.128
group4	name281	0.556
group4	name282	0.203
group4	name283	0.351
group4	name284	0.3
group4	name285	0.838
group4	name286	1.11
group4	name287	1.694
group4	name288	0.019
group4	name289	0.216
group4	name290	0.03
group4	name291	0.356
group4	name292	0.043
group4	name293	1.038
group4	name294	0.192
group4	name295	0.033
group4	name296	1.75
group4	name297	0.182
group4	name298	0.141
group4	name299	0.201
group4	name300	0.233
group4	name301	0.424
group4	name302	1.382
group4	name303	0.068
group4	name304	0.387
group4	name305	1.173
group4	name306	0.181
group4	name307	0.202
group4	name308	0.202
group4	name309	0.441
group4	name310	0.392
group4	name311	0.082
group4	name312	0.096
group4	name313	1.409
group4	name314	0.31
group4	name315	0.442
group4	name316	0.011
group4	name317	0.218
group4	name318	0.251
group4	name319	0.02
group4	name320	0.488
group4	name321	0.861
group4	name322	0.681
group4	name323	0.182
group4	name324	0.533
group4	name325	0.031
group4	name326	0.207
group4	name327	1.249
group4	name328	1.228
group4	name329	0.388
group4	name330	0.011
group4	name331	1.063
group4	name332	1.056
group4	name333	0.052
group4	name334	2.488
group4	name335	0.479
group4	name336	0.741
group4	name337	0.115
group4	name338	0.869
group4	name339	0.167
group4	name340	0.03
