group	name	var1	var2	var3	var4	var5	var6	var7	var8	var9
group1	Sample1	70.31	79.39	31.38	74.06	83.86	24.22	23.25	27.52	78
group1	Sample2	73.82	73.47	26.67	72.07	69.65	29.68	30.46	35.53	68.11
group1	Sample3	75.47	73.66	38.53	68.53	58.05	37.14	33.59	29.06	68.16
group1	Sample4	63.79	72.58	33	67.18	62.48	33.54	36.05	27.1	64.32
group1	Sample5	78.74	70.55	20.41	80.45	76.36	23.05	23.16	25.91	77.1
group1	Sample6	63.09	57.03	36.74	61.83	66.98	39.74	35.83	37.17	64.18
group2	Sample7	81.29	80.99	29.21	76.88	78.23	21.52	22.96	21.59	77.34
group2	Sample8	72.92	73.91	37.2	70.75	60.87	29.38	31.1	30.28	65.94
group2	Sample9	64.21	68.57	39.94	71.21	70.64	31.9	34.47	37.32	66.1
group2	Sample10	71.02	55.69	38.3	67.34	67.95	32.65	36.26	36.08	64.01
group2	Sample11	69.69	75.92	26.32	74.39	68.42	28.7	28.45	19.23	70.17
group2	Sample12	77.74	66.97	35.24	70.61	77.37	30.62	31.72	32.98	70.98
group3	Sample13	66.51	73.08	38.61	66.05	69.26	32.15	31.72	36.29	68.8
group3	Sample14	61.7	63.21	30.56	64.55	60.93	34.7	31.73	36.52	67.45
group3	Sample15	71.95	70.39	37.06	63.32	60.63	31.26	34.81	34.19	67.61
group3	Sample16	68.28	63.53	37.44	59.53	69.75	29.99	32.65	42.54	65.91
group3	Sample17	71.58	60.5	36.72	60.87	56.55	36.32	34.26	37.59	64.39
group3	Sample18	72.52	71.78	38.81	68.5	62.58	30.42	31.59	28.63	68.54
group4	Sample19	74.27	63.95	37.32	63.4	70.66	32.14	31.3	42.54	68.32
group4	Sample20	80.96	77.79	26.87	79.31	67.56	27.22	27.71	30.69	75.95
group4	Sample21	84.85	70.14	29.58	77.23	72.63	28.56	26.25	26.36	74.04
group4	Sample22	81.42	77.16	24.71	80.8	78.63	19.31	22.8	16.31	76.14
group4	Sample23	75.8	71.32	37.25	63.19	77.01	31.66	29.93	32.5	67.62
group4	Sample24	76.39	74.12	36.17	65.21	73.18	37.69	33.37	26.81	69
