name	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
var0			1.0	1.0			1.0				1.0								1.0	
var1	1.0			1.0				1.0					1.0							
var2						1.0		1.0						1.0						1.0
var3														1.0						1.0
var4						1.0														
var5			1.0				1.0									1.0				
var6		1.0							1.0								1.0			
var7				1.0												1.0				
var8						1.0	1.0								1.0					
var9			1.0			1.0				1.0	1.0			1.0	1.0					
var10	1.0							1.0											1.0	1.0
var11						1.0					1.0				1.0					1.0
var12		1.0						1.0		1.0								1.0		
var13		1.0																1.0		
var14					1.0		1.0													
var15										1.0		1.0	1.0						1.0	
var16			1.0										1.0			1.0				
var17	1.0		1.0			1.0						1.0		1.0						
var18												1.0		1.0			1.0			
var19		1.0				1.0						1.0			1.0				1.0	
var20	1.0					1.0				1.0			1.0		1.0	1.0				
var21							1.0	1.0	1.0							1.0				
var22													1.0						1.0	
var23					1.0	1.0		1.0				1.0	1.0				1.0		1.0	
var24			1.0		1.0	1.0		1.0					1.0							1.0
