Number	value	group
1	0.405364838	a
2	4.420207957	a
3	4.420207957	a
4	6.259926797	a
5	6.259926797	a
6	12.36529618	a
7	12.36529618	a
8	12.36529618	a
9	13.10654281	a
10	14.38740858	a
11	14.38740858	a
12	17.56994772	a
13	17.56994772	a
14	17.56994772	a
15	17.56994772	a
16	17.56994772	a
17	17.56994772	a
18	17.56994772	a
19	17.56994772	a
20	17.56994772	a
21	17.63268341	a
22	17.63268341	a
23	17.63268341	a
24	17.63268341	a
25	17.63268341	a
26	17.63268341	a
27	17.63268341	a
28	17.63268341	a
29	17.63268341	a
30	17.63268341	a
31	17.63268341	a
32	17.65984445	a
33	17.65984445	a
34	25.06291777	a
35	25.06291777	a
36	25.06291777	a
37	25.06291777	a
38	25.06291777	a
39	25.06291777	a
40	25.06291777	a
41	25.06291777	a
42	25.06291777	a
43	25.06291777	a
44	25.06291777	a
45	25.06291777	a
46	25.18335563	a
47	25.18335563	a
48	25.18335563	a
49	25.18335563	a
50	25.18335563	a
1	4.392925294	c
2	4.416803637	c
3	5.86051912	c
4	9.12468775	c
5	9.414765453	c
6	9.729518945	c
7	9.815616537	c
8	9.815616537	c
9	9.815616537	c
10	9.815616537	c
11	11.78666706	c
12	12.11149134	c
13	20.24825335	c
14	21.83247945	c
15	21.83247945	c
16	21.83247945	c
17	21.64648565	c
18	21.64648565	c
19	21.64648565	c
20	21.64648565	c
21	21.61983323	c
22	21.61983323	c
23	21.61983323	c
24	21.61983323	c
25	21.61983323	c
26	21.61983323	c
27	16.61721571	c
28	17.16613601	c
29	17.16613601	c
30	17.16613601	c
31	17.62112486	c
32	17.62112486	c
33	17.62112486	c
34	17.62112486	c
35	17.62112486	c
36	18.08424721	c
37	18.08424721	c
38	18.08424721	c
39	18.08424721	c
40	16.2613372	c
41	16.15619046	c
42	16.15619046	c
43	16.15619046	c
44	16.15619046	c
45	15.35047266	c
46	15.29898242	c
47	14.55065081	c
48	14.55065081	c
49	13.30470027	c
50	17.92518271	c
