group	x	y	upper	lower
1	32.79	102.14565476552461	111.16336762570648	93.12794190534274
1	43.82	107.96351525017499	114.9523583778281	100.97467212252188
1	57.63	115.24770865842719	120.15833762456637	110.337079692288
1	62.72	117.9324692991226	122.34462371111209	113.52031488713311
1	74.05	123.90856714962928	128.12310753032924	119.6940267689293
1	76.78	125.34852717892171	129.72278227708512	120.97427208075831
1	85.91	130.16421767981547	135.52614412632013	124.8022912333108
1	86.06	130.2433363627436	135.6259831146236	124.86068961086362
1	89.86	132.24767633025687	138.18989172375547	126.30546093675827
1	90.43	132.54832732538387	138.57959216182653	126.51706248894122
2	22.43	129.0268422909414	138.63507783257202	119.41860674931078
2	25.77	126.8807462157423	135.99019908369362	117.77129334779099
2	76.4	94.34875690815831	98.63442803536569	90.06308578095093
2	77.73	93.4941737404892	97.80864193636697	89.17970554461144
2	83.7	89.65818764200458	94.23562248221201	85.08075280179715
2	88.05	86.86312239436504	91.75394830832444	81.97229648040563
2	88.64	86.4840215906622	91.42412965096644	81.54391353035795
2	89.85	85.70654367120385	90.75229260778215	80.66079473462554
2	90.3	85.41739899041355	90.50394305775212	80.33085492307497
2	94.7	82.59020655601951	88.1142611636079	77.06615194843111
