category	type	Main course	Side course	Minus points
Class1	M	0.0412 	0.3072 	-0.0005 
Class2	M	0.0496 	2.4278 	-0.0052 
Class3	M	0.0478 	0.0697 	-0.0077 
Class4	M	0.0599 	5.5044 	-0.0066 
Class5	M	0.3949 	0.5161 	-0.0638 
Class6	M	0.0039 	0.0011 	-0.0008 
Class7	M	0.0001 	0.0000 	0.0000 
Class8	M	0.1078 	0.7644 	-0.0037 
Class1	A	0.0621 	0.0479 	-0.0119 
Class2	A	0.0696 	0.0338 	-0.0107 
Class3	A	0.0489 	0.0198 	-0.0059 
Class4	A	0.0838 	0.0401 	-0.0126 
Class5	A	0.7280 	0.1852 	-0.1277 
Class6	A	0.0328 	0.0065 	-0.0010 
Class7	A	0.0001 	0.0000 	0.0000 
Class8	A	0.1325 	0.1364 	-0.0247 
