group	type	num
152	Name1	156
152	Name2	51
152	Name3	854
152	Name4	32
152	Name5	55
152	Name6	6
152	Name7	2
152	Name8	1
152	Name9	1
153	Name3	676
153	Name5	36
153	Name4	100
153	Name1	80
153	Name2	27
153	Name6	4
153	Name8	1
153	Name9	5
154	Name4	67
154	Name3	471
154	Name5	44
154	Name1	177
154	Name2	32
154	Name10	6
154	Name9	3
154	Name8	4
154	Name6	3
155	Name3	435
155	Name5	17
155	Name4	42
155	Name1	98
155	Name6	5
155	Name8	2
155	Name10	2
155	Name2	3
155	Name9	1
156	Name3	448
156	Name4	56
156	Name7	1
156	Name2	11
156	Name8	4
156	Name1	105
156	Name6	2
156	Name5	29
156	Name9	8
156	Name10	2
157	Name3	206
157	Name1	282
157	Name4	39
157	Name6	4
157	Name5	81
157	Name8	6
157	Name7	1
157	Name9	2
157	Name10	3
158	Name3	203
158	Name1	106
158	Name5	20
158	Name4	67
158	Name9	4
158	Name2	64
158	Name6	6
158	Name8	3
158	Name10	2
159	Name4	128
159	Name3	493
159	Name6	4
159	Name5	30
159	Name1	60
159	Name2	122
159	Name8	5
159	Name9	7
159	Name10	1
160	Name3	344
160	Name4	137
160	Name6	3
160	Name1	109
160	Name2	53
160	Name5	79
160	Name8	14
160	Name9	7
160	Name10	6
161	Name3	262
161	Name2	4
161	Name5	129
161	Name4	285
161	Name6	2
161	Name1	287
161	Name9	6
161	Name8	25
161	Name10	16
162	Name3	782
162	Name4	76
162	Name1	55
162	Name8	4
162	Name5	36
162	Name2	34
162	Name6	13
162	Name10	3
162	Name9	4
163	Name3	692
163	Name4	122
163	Name1	131
163	Name5	45
163	Name2	20
163	Name10	3
163	Name6	5
163	Name9	3
163	Name8	3
164	Name3	307
164	Name1	243
164	Name5	82
164	Name4	244
164	Name2	18
164	Name8	5
164	Name9	1
164	Name10	2
164	Name6	7
164	Name7	2
165	Name1	201
165	Name5	48
165	Name4	101
165	Name2	36
165	Name3	73
165	Name8	2
166	Name3	94
166	Name2	53
166	Name4	253
166	Name1	269
166	Name9	4
166	Name6	5
166	Name10	2
166	Name5	101
166	Name8	4
167	Name4	24
167	Name1	218
167	Name5	169
167	Name8	17
167	Name10	9
167	Name9	4
167	Name3	100
167	Name2	263
167	Name6	4
168	Name5	125
168	Name4	95
168	Name1	193
168	Name8	35
168	Name10	17
168	Name9	12
168	Name3	134
168	Name2	211
168	Name6	2
169	Name4	192
169	Name3	274
169	Name5	118
169	Name2	56
169	Name1	229
169	Name6	2
169	Name8	9
169	Name7	1
169	Name9	3
169	Name10	6
170	Name3	706
170	Name2	132
170	Name4	46
170	Name5	75
170	Name8	4
170	Name1	232
170	Name9	7
170	Name10	6
170	Name6	5
171	Name1	137
171	Name5	70
171	Name3	576
171	Name4	175
171	Name10	11
171	Name9	3
171	Name8	3
171	Name6	8
171	Name2	218
172	Name3	69
172	Name1	272
172	Name4	192
172	Name5	107
172	Name6	1
172	Name8	4
172	Name2	71
172	Name10	2
173	Name3	344
173	Name4	45
173	Name1	173
173	Name2	338
173	Name8	12
173	Name5	90
173	Name10	2
173	Name9	5
174	Name2	636
174	Name3	337
174	Name4	56
174	Name9	7
174	Name5	89
174	Name6	7
174	Name10	5
174	Name1	204
174	Name8	2
175	Name3	155
175	Name2	933
175	Name5	22
175	Name1	40
175	Name9	7
175	Name8	1
175	Name4	11
175	Name6	3
176	Name3	477
176	Name4	41
176	Name5	127
176	Name8	13
176	Name1	286
176	Name10	12
176	Name2	213
176	Name6	3
176	Name9	4
177	Name1	89
177	Name3	351
177	Name2	481
177	Name4	39
177	Name5	31
177	Name10	3
177	Name8	4
177	Name6	5
177	Name9	1
178	Name3	866
178	Name2	588
178	Name1	32
178	Name6	13
178	Name5	23
178	Name10	2
178	Name4	24
178	Name9	2
178	Name8	1
179	Name3	55
179	Name5	112
179	Name4	211
179	Name1	289
179	Name2	61
179	Name8	9
179	Name6	3
179	Name10	5
179	Name9	2
180	Name2	1060
180	Name3	90
180	Name8	6
180	Name4	24
180	Name9	5
180	Name5	15
180	Name1	25
180	Name10	3
181	Name2	806
181	Name1	76
181	Name4	28
181	Name3	79
181	Name5	21
181	Name8	8
181	Name9	6
181	Name6	6
181	Name10	3
182	Name3	322
182	Name2	186
182	Name1	258
182	Name5	219
182	Name4	119
182	Name6	2
182	Name10	11
182	Name9	7
182	Name8	11
183	Name2	74
183	Name3	100
183	Name1	570
183	Name5	258
183	Name9	9
183	Name4	46
183	Name8	22
183	Name10	16
183	Name6	2
184	Name2	390
184	Name3	347
184	Name5	267
184	Name4	193
184	Name1	254
184	Name8	23
184	Name6	4
184	Name9	5
184	Name10	39
185	Name2	257
185	Name4	233
185	Name3	282
185	Name1	188
185	Name5	231
185	Name6	5
185	Name10	106
185	Name9	3
185	Name8	22
186	Name5	193
186	Name4	38
186	Name1	489
186	Name8	5
186	Name7	3
186	Name3	1
186	Name10	149
