name	name1	name2	name3	name4	name5	name6	name7	name8	name9	name10	name11	name12	name13	name14	name15	name16	name17	name18	name19	name20	name21	name22	name23	name24	name25	name26	name27	name28	name29	name30
Chemistry	89	66	66	50	58	73	76	52	75	77	76	74	77	67	87	58	75	61	67	84	52	50	83	88	53	62	61	83	56	80
Politics	76	69	90	56	86	55	57	56	90	74	87	76	65	53	85	89	78	55	75	61	89	65	83	79	69	89	66	55	65	68
Biology	43	52	47	52	51	44	49	55	44	49	52	60	56	45	49	52	48	42	54	59	50	43	45	47	54	48	58	49	50	50
Geography	58	56	58	44	50	49	54	40	46	53	48	49	45	57	53	58	47	44	46	43	55	48	42	55	44	51	40	42	50	60
History	53	59	50	48	45	51	50	58	48	51	58	56	43	44	45	40	41	59	43	46	40	46	60	50	48	49	45	52	49	50
Running	33	32	22	40	31	40	38	29	30	39	20	26	38	21	34	35	21	20	35	31	25	20	28	33	22	40	38	28	28	28
Jumping	37	34	38	27	23	35	33	26	23	37	28	29	33	25	20	29	20	25	30	23	31	37	40	21	31	27	21	31	31	28
Swimming	35	40	26	31	33	34	39	26	39	28	40	34	27	27	20	30	31	23	34	26	40	38	39	28	26	33	37	35	37	20
Basketball	34	21	25	22	35	31	28	28	21	25	27	31	20	25	34	20	37	34	37	22	26	21	40	28	29	23	39	20	25	24
Football	22	20	28	39	21	23	35	37	30	33	24	28	32	33	32	36	38	40	39	26	21	40	26	36	33	38	28	24	36	27
Badminton	36	23	37	27	24	36	21	32	27	28	22	25	37	32	40	21	38	28	29	31	38	25	29	36	37	31	30	24	27	21
Table Tennis	26	29	20	40	28	32	25	24	30	38	31	29	34	23	22	38	30	20	24	24	21	25	23	20	28	22	26	22	39	28
Tennis	34	23	37	31	26	21	25	26	32	26	36	22	21	27	27	36	34	26	31	31	35	22	40	20	25	24	31	22	26	39
Volleyball	29	20	37	24	38	20	23	40	20	36	40	39	37	28	30	34	32	24	37	28	22	33	29	26	30	35	22	34	32	21
Gymnastics	34	38	27	23	26	40	24	39	20	34	25	27	28	36	23	24	21	22	37	21	30	37	22	37	39	35	31	38	36	37
Cycling	17	14	13	14	16	14	19	19	14	14	18	15	19	15	11	13	19	10	18	12	15	12	12	15	14	18	20	12	12	12
Rock Climbing	10	18	11	10	11	20	11	15	11	13	11	19	20	19	19	16	13	20	14	19	11	11	13	15	15	13	14	12	12	15
Diving	16	15	18	15	14	11	19	10	12	13	18	13	11	15	12	14	19	18	10	20	10	12	18	11	13	16	17	20	11	20
Baseball	13	19	15	19	14	11	14	20	10	17	19	15	18	19	19	16	19	14	15	16	11	19	19	12	16	10	16	13	15	13
Softball	19	20	18	19	11	11	20	15	13	12	17	10	10	10	17	11	13	15	11	17	15	15	14	18	20	19	10	10	18	16
Golf	3	6	2	3	5	2	2	5	3	9	2	4	4	5	9	7	9	3	8	3	4	2	4	4	6	1	7	4	4	2
Rugby	3	3	6	5	8	7	8	8	3	8	3	8	9	8	3	2	8	4	9	7	1	1	4	3	1	1	7	5	1	3
Handball	2	1	2	9	4	9	1	6	5	5	1	9	6	1	3	7	1	1	6	6	9	8	3	6	5	1	1	1	8	6
Bowling	1	6	6	6	4	6	8	2	5	7	3	9	1	7	3	6	9	2	7	9	4	8	3	4	7	2	7	7	6	8
Sailing	6	9	8	1	5	6	8	6	1	5	7	7	7	9	9	9	1	4	4	7	5	1	8	2	8	7	4	1	5	3
Rugby	3	3	6	5	8	7	8	8	3	8	3	8	9	8	3	2	8	4	9	7	1	1	4	3	1	1	7	5	1	3
Ice and Snow Sports	5	4	6	1	7	6	1	4	1	7	9	7	2	9	1	7	2	7	2	3	8	4	8	9	1	4	9	1	8	5
