name	gender	grade	village
name1	male	9	yangJiaZ
name2	female	8	ganTang
name3	male	8	taQian
name4	male	8	taQian
name5	male	9	ganTang
name6	female	9	zhouShang
name7	male	9	liLin
name8	female	8	yangJiaZ
name9	female	9	duiFan
name10	female	7	yangJiaZ
name11	male	7	taQian
name12	female	9	yangJiaZ
name13	male	7	taQian
name14	male	8	duiFan
name15	male	8	jianTou
name16	female	7	liLin
name17	female	8	gaiTou
name18	female	8	jianTou
name19	female	8	gaiTou
name20	male	9	jianTou
name21	female	8	baiDu
name22	male	7	yangJiaZ
name23	female	9	duiFan
name24	male	9	taQian
name25	male	9	jianTou
name26	male	9	liLin
name27	female	8	taQian
name28	male	7	liLin
name29	female	9	taQian
name30	male	8	taQian
