source	target	value
name1	name2	100
name1	name3	100
name1	name4	100
name1	name5	100
name1	name6	100
name1	name7	100
name1	name8	100
name1	name9	100
name10	name11	100
name12	name3	100
name12	name4	100
name12	name8	100
name12	name11	100
name14	name9	100
name15	name3	100
name15	name4	100
name15	name8	100
name15	name2	100
name15	name5	100
name15	name6	100
name15	name7	100
name15	name9	100
name15	name11	100
name11	name17	100
name3	name18	100
name4	name18	100
name8	name18	100
name2	name18	100
name3	name19	100
name4	name19	100
name8	name19	100
name2	name19	100
