name1	name2	value	group
var1	var2	0.232197868	a
var4	var2	0.540868589	a
var4	var3	0.613315233	a
var5	var1	0.424867517	a
var5	var2	0.33898361	a
var3	var1	0.178182787	a
var3	var2	0.259272769	a
var4	var1	0.523932676	a
var5	var3	0.37358632	a
var5	var4	0.495421292	a
var6	var1	0.443814936	a
var6	var2	0.53115416	a
var6	var3	0.540048979	a
var6	var4	0.676059763	a
var6	var5	0.541915822	a
var7	var1	0.516956799	a
var7	var2	0.624426795	a
var7	var3	0.633199897	a
var7	var4	0.7606589	a
var7	var5	0.674270252	a
var7	var6	0.838580327	a
var8	var1	0.477666411	a
var8	var2	0.466575127	a
var8	var3	0.472491718	a
var8	var4	0.646733822	a
var8	var5	0.320355162	a
var8	var6	0.591881398	a
var8	var7	0.618000095	a
var9	var1	0.507947399	a
var9	var2	0.61307586	a
var9	var3	0.61701868	a
var9	var4	0.751990634	b
var9	var5	0.659840225	b
var9	var6	0.821629305	b
var9	var7	0.926291622	b
var9	var8	0.586850712	b
var10	var1	0.50255403	b
var10	var2	0.543794673	b
var10	var3	0.633839631	b
var10	var4	0.762453317	b
var10	var5	0.675160181	b
var10	var6	0.732930789	b
var10	var7	0.888646916	b
var10	var8	0.65403998	b
var10	var9	0.908708744	b
var11	var1	0.314779109	b
var11	var2	0.328914947	b
var11	var3	0.400633982	b
var11	var4	0.468899767	b
var11	var5	0.357342218	b
var11	var6	0.389178068	b
var11	var7	0.536709376	b
var11	var8	0.279919719	b
var11	var9	0.416765337	b
var11	var10	0.422316614	b
var12	var1	0.328900647	b
var12	var2	0.596222865	b
var12	var3	0.537722873	b
var12	var4	0.604427473	b
var12	var5	0.464290002	b
var12	var6	0.621428417	b
var12	var7	0.752371604	b
var12	var8	0.457474989	b
var12	var9	0.743912939	b
var12	var10	0.666957316	b
var12	var11	0.266199233	b
var13	var1	0.543367948	b
var13	var2	0.497316626	b
var13	var3	0.629739646	b
var13	var4	0.685323251	b
var13	var5	0.614299124	b
var13	var6	0.726098355	b
var13	var7	0.83331254	b
var13	var8	0.550987739	c
var13	var9	0.835858347	c
var13	var10	0.830203508	c
var13	var11	0.329099754	c
var13	var12	0.662600252	c
var14	var1	0.424788948	c
var14	var2	0.40123606	c
var14	var3	0.679148751	c
var14	var4	0.625895736	c
var14	var5	0.414033161	c
var14	var6	0.539302879	c
var14	var7	0.736303455	c
var14	var8	0.581419154	c
var14	var9	0.662811595	c
var14	var10	0.753211115	c
var14	var11	0.395349418	c
var14	var12	0.610620593	c
var14	var13	0.59671535	c
var15	var1	0.548755436	c
var15	var2	0.31032684	c
var15	var3	0.566297639	c
var15	var4	0.612733353	c
var15	var5	0.365497077	c
var15	var6	0.498105947	c
var15	var7	0.572521303	c
var15	var8	0.545278402	c
var15	var9	0.597699589	c
var15	var10	0.64402863	c
var15	var11	0.423676985	c
var15	var12	0.361619735	c
var15	var13	0.504244518	c
var15	var14	0.59207555	c
var16	var1	0.196950102	c
var16	var2	0.284780053	c
var16	var3	0.302591368	c
var16	var4	0.336047808	c
var16	var5	0.525370607	c
var16	var6	0.448112435	c
var16	var7	0.534396204	c
var16	var8	0.304901244	c
var16	var9	0.597761177	c
var16	var10	0.556997011	c
var16	var11	0.210276061	c
var16	var12	0.403702858	c
var16	var13	0.46923879	c
var16	var14	0.503323327	c
var16	var15	0.34896584	c
