name	var1	var2	var3	var4	var5	var6	var7	var8	var9	var10	var11	var12
S11	70.31	79.39	31.38	74.06	83.86	24.22	23.25	27.52	78	77.76	70.19	23.98
S12	73.82	73.47	26.67	72.07	69.65	29.68	30.46	35.53	68.11	67.62	73.65	35.49
S13	75.47	73.66	38.53	68.53	58.05	37.14	33.59	29.06	68.16	68.43	66.78	35.69
S14	63.79	72.58	33	67.18	62.48	33.54	36.05	27.1	64.32	66.45	72.39	36.67
S15	78.74	70.55	20.41	80.45	76.36	23.05	23.16	25.91	77.1	73.92	81.58	27.01
S16	63.09	57.03	36.74	61.83	66.98	39.74	35.83	37.17	64.18	66.49	72.86	35.47
S17	81.29	80.99	29.21	76.88	78.23	21.52	22.96	21.59	77.34	75.76	73.49	17.16
S18	72.92	73.91	37.2	70.75	60.87	29.38	31.1	30.28	65.94	66.49	75.77	29.42
S19	64.21	68.57	39.94	71.21	70.64	31.9	34.47	37.32	66.1	66.54	71	29.08
N11	71.02	55.69	38.3	67.34	67.95	32.65	36.26	36.08	64.01	61.96	63.88	40.24
N12	69.69	75.92	26.32	74.39	68.42	28.7	28.45	19.23	70.17	72.97	68.11	24.24
N13	77.74	66.97	35.24	70.61	77.37	30.62	31.72	32.98	70.98	69.77	66.5	30.05
N14	66.51	73.08	38.61	66.05	69.26	32.15	31.72	36.29	68.8	65.62	70.83	31.82
N15	61.7	63.21	30.56	64.55	60.93	34.7	31.73	36.52	67.45	67.12	69.49	27.09
N16	71.95	70.39	37.06	63.32	60.63	31.26	34.81	34.19	67.61	65.76	73.68	27.86
N17	68.28	63.53	37.44	59.53	69.75	29.99	32.65	42.54	65.91	65.83	65.81	30.15
N18	71.58	60.5	36.72	60.87	56.55	36.32	34.26	37.59	64.39	63.06	65.51	33.09
N19	72.52	71.78	38.81	68.5	62.58	30.42	31.59	28.63	68.54	69.58	70.84	35.81
