name	a	b	c
name1	2	1	6
name2	1	6	9
name3	2	6	8
name4	9	6	1
name5	4	4	5
name6	9	6	6
name7	1	8	8
name8	6	2	6
name9	5	5	1
name10	5	7	5
name11	1	3	7
name12	9	9	7
name13	6	1	7
name14	1	7	9
name15	3	3	9
name16	7	6	9
name17	1	9	1
name18	1	2	4
name19	6	7	4
name20	6	9	7
name21	9	4	5
name22	8	8	1
name23	3	3	8
name24	6	4	2
name25	5	7	8
name26	1	2	7
name27	1	7	4
name28	1	7	1
name29	8	6	5
name30	6	8	3
name31	9	7	7
name32	9	1	8
name33	8	8	2
name34	7	1	1
name35	5	6	6
name36	3	6	2
name37	7	9	2
name38	8	5	5
name39	7	3	5
name40	7	4	5
