name	group	value
name1	aaaaaaaa	6
name2	aaaaaaaa	9
name3	aaaaaaaa	8
name4	aaaaaaaa	1
name5	aaaaaaaa	5
name6	aaaaaaaa	6
name1	bbbbbbbb	8
name2	bbbbbbbb	6
name3	bbbbbbbb	1
name4	bbbbbbbb	5
name5	bbbbbbbb	7
name6	bbbbbbbb	7
name1	ccccccc	6
name2	ccccccc	9
name3	ccccccc	8
name4	ccccccc	1
name5	ccccccc	5
name6	ccccccc	6
name1	ddddddd	8
name2	ddddddd	6
name3	ddddddd	1
name4	ddddddd	5
name5	ddddddd	7
name6	ddddddd	7
name1	eeeeeee	6
name2	eeeeeee	9
name3	eeeeeee	8
name4	eeeeeee	1
name5	eeeeeee	5
name6	eeeeeee	6
name1	fffffff	8
name2	fffffff	6
name3	fffffff	1
name4	fffffff	5
name5	fffffff	7
name6	fffffff	7
