name	age	x	y
name1	g11	1	6
name2	g11	6	9
name3	g11	6	8
name4	g11	6	1
name5	g12	4	5
name6	g12	6	6
name7	g12	8	8
name8	g12	2	6
name9	g13	5	1
name10	g13	7	5
name11	g13	3	7
name12	g13	9	7
name13	g14	1	7
name14	g14	7	9
name15	g14	3	9
name16	g14	6	9
name17	g15	9	1
name18	g15	2	4
name19	g15	7	4
name20	g15	9	7
name21	g16	4	5
name22	g16	8	1
name23	g16	3	8
name24	g16	4	2
name25	g11	7	8
name26	g11	2	7
name27	g11	7	4
name28	g11	7	1
name29	g12	6	5
name30	g12	8	3
name31	g12	7	7
name32	g12	1	8
name33	g13	8	2
name34	g13	1	1
name35	g13	6	6
name36	g13	6	2
name37	g14	9	2
name38	g14	5	5
name39	g14	3	5
name40	g14	4	5
