Source	Target	Weight
Name1	Name2	243.8 
Name1	Name3	106.0 
Name1	Name4	55.6 
Name1	Name5	25.3 
Name1	Name6	82.9 
Name1	Name7	601.8 
Name1	Name8	150.2 
Name1	Name9	43.7 
Name1	Name10	242.4 
Name1	Name11	792.8 
Name1	Name12	101.2 
Name1	Name13	72.0 
Name1	Name14	2.7 
Name1	Name15	598.2 
Name1	Name16	167.8 
Name1	Name17	104.6 
Name1	Name18	18.6 
Name1	Name19	32.6 
Name1	Name20	20.8 
Name1	Name21	24.9 
Name1	Name22	8.3 
Name1	Name23	35.1 
Name1	Name24	24.6 
Name1	Name25	8.4 
Name1	Name26	21.8 
Name1	Name27	164.4 
Name1	Name28	2.4 
Name1	Name29	25.4 
Name1	Name30	29.9 
Name1	Name31	29.2 
Name1	Name32	8.1 
Name1	Name33	14.9 
Name1	Name34	5.9 
Name1	Name35	16.5 
Name1	Name36	9.1 
Name1	Name37	14.4 
Name38	Name1	353.6 
Name38	Name39	161.3 
Name38	Name40	114.2 
Name38	Name41	500.9 
Name38	Name2	121.5 
Name38	Name3	144.6 
Name38	Name4	85.6 
Name38	Name5	43.3 
Name38	Name6	84.9 
Name38	Name7	82.3 
Name38	Name8	52.0 
Name38	Name9	29.0 
Name38	Name10	57.6 
Name38	Name11	18.2 
Name38	Name12	13.9 
Name38	Name13	52.5 
Name38	Name14	4.2 
Name38	Name15	43.2 
Name38	Name16	55.3 
Name38	Name17	26.7 
Name38	Name18	25.9 
Name38	Name19	5.7 
Name38	Name20	29.7 
Name38	Name21	94.5 
Name38	Name22	0.9 
Name38	Name23	6.5 
Name38	Name24	22.5 
Name38	Name25	1.4 
Name38	Name26	20.8 
Name38	Name27	174.9 
Name38	Name28	0.7 
Name38	Name29	4.3 
Name38	Name30	107.7 
Name38	Name31	15.0 
Name38	Name32	20.9 
Name38	Name33	4.8 
Name38	Name34	3.7 
Name38	Name35	11.3 
Name38	Name36	8.5 
Name38	Name37	34.9 
Name39	Name1	211.4 
Name39	Name38	130.6 
Name39	Name40	55.7 
Name39	Name41	218.0 
Name39	Name2	187.1 
Name39	Name3	55.9 
Name39	Name4	22.0 
Name39	Name5	13.2 
