source	target	value
name1	name2	1
name1	name3	2
name1	name4	3
name1	name5	4
name1	name6	5
name1	name7	6
name1	name8	7
name1	name9	8
name10	name11	9
name12	name3	10
name12	name4	11
name12	name8	12
name12	name13	13
name12	name11	14
name14	name9	1
name15	name3	2
name15	name4	3
name15	name8	4
name15	name16	5
name15	name2	6
name15	name5	7
name15	name6	8
name15	name7	9
name15	name9	10
name15	name13	11
name15	name11	12
name11	name17	13
name3	name18	14
name4	name18	15
name8	name18	16
name16	name18	17
name2	name18	18
name3	name19	19
name4	name19	20
name8	name19	21
name16	name19	22
name2	name19	23
name5	name19	24
name6	name19	25
name7	name19	26
name9	name19	27
name13	name19	28
name11	name19	29
name3	name20	30
name4	name20	31
name8	name20	32
name16	name20	33
name2	name20	34
name5	name20	35
