source	target
name1	name2
name1	name3
name1	name4
name1	name5
name1	name6
name1	name7
name1	name8
name1	name9
name10	name11
name12	name3
name12	name4
name12	name8
name12	name13
name12	name11
name14	name9
name15	name3
name15	name4
name15	name8
name15	name16
name15	name2
name15	name5
name15	name6
name15	name7
name15	name9
name15	name13
name15	name11
name11	name17
name3	name18
name4	name18
name8	name18
name16	name18
name2	name18
name3	name19
name4	name19
name8	name19
name16	name19
name2	name19
name5	name19
name6	name19
name7	name19
name9	name19
name13	name19
name11	name19
name3	name20
name4	name20
name8	name20
name16	name20
name2	name20
name5	name20
