id	pvalue	log2FoldChange
ABCG1	9.91E-211	-3.38 
BCAT1	3.31E-54	-2.35 
ACOX2	1.21E-172	-2.31 
BLVRA	3.00E-52	-2.31 
ADCY9	4.51E-141	-2.30 
ABCA5	4.69E-223	-2.29 
ARHGEF12	8.24E-76	-2.27 
AP4B1	5.42E-92	-2.17 
ATF7	1.76E-65	-2.15 
ATF7IP	1.84E-65	-2.10 
CDH12	2.79E-30	-2.10 
AIFM2	2.03E-115	-1.89 
BAG1	1.59E-55	-1.89 
CHEK1	2.29E-27	-1.86 
ADGRF1	2.69E-133	-1.86 
ARRDC4	1.83E-71	-1.81 
CMTM6	6.83E-25	-1.74 
COL11A2	2.69E-24	-1.74 
DCTN2	2.17E-18	-1.70 
AAMP	4.65E-280	-1.68 
BBS9	1.50E-54	-1.65 
CASR	5.16E-39	-1.64 
DUOX1	7.52E-16	-1.63 
ACER3	6.36E-187	-1.63 
ARPC5	7.75E-72	-1.63 
IRF7	5.51E-07	-1.62 
CAMK2D	6.23E-42	-1.60 
BCOR	9.63E-54	-1.56 
BMP8A	3.43E-51	-1.56 
AARS1	7.14E-276	-1.52 
CNOT2	8.34E-25	-1.48 
ABRAXAS2	1.53E-200	-1.47 
LAMTOR2	3.93E-06	-1.44 
ACACA	7.17E-197	-1.43 
CDC42EP3	2.04E-30	-1.43 
EPHB2	7.00E-14	-1.42 
GPS1	1.04E-09	-1.41 
ABHD12	4.06E-210	-1.37 
CCL3	1.77E-36	-1.37 
ADPGK	1.17E-128	-1.37 
FGF10	2.30E-12	-1.34 
ARFGEF1	5.57E-80	-1.34 
ELP3	2.12E-14	-1.34 
AKR1C4	2.61E-111	-1.34 
ADCY8	7.07E-142	-1.34 
ABCB1	1.16E-220	-1.34 
BRI3	8.99E-50	-1.32 
ACSL4	8.99E-167	-1.31 
ABCA2	3.07E-227	-1.31 
COPRS	3.31E-23	-1.30 
CLIP1	3.22E-25	-1.30 
CYSLTR2	7.98E-19	-1.27 
BANF1	4.04E-55	-1.27 
CD46	4.12E-32	-1.27 
KDR	1.62E-06	-1.26 
FGFR4	4.09E-12	-1.26 
DDT	7.46E-18	-1.25 
ANAPC13	1.49E-104	-1.25 
AGFG1	1.96E-125	-1.24 
ARAP2	1.48E-80	-1.24 
FBXL7	9.71E-13	-1.24 
AGPAT3	7.99E-122	-1.23 
EDEM3	1.90E-15	-1.23 
CDC23	1.08E-30	-1.23 
