name	group	value
name1	aaaaaaaaa1	5
name2	aaaaaaaaa1	7
name3	aaaaaaaaa1	3
name4	aaaaaaaaa1	5
name1	a2	23
name2	a2	33
name3	a2	18
name4	a2	23
name1	a3	101
name2	a3	95
name3	a3	91
name4	a3	105
name1	b1	107
name2	b1	116
name3	b1	75
name4	b1	83
name1	b2	115
name2	b2	102
name3	b2	77
name4	b2	100
name1	b3	113
name2	b3	78
name3	b3	110
name4	b3	89
name1	c1	70
name2	c1	111
name3	c1	81
name4	c1	96
name1	c2	104
name2	c2	120
name3	c2	117
name4	c2	78
name1	c3	112
name2	c3	75
name3	c3	88
name4	c3	93
name1	d1	89
name2	d1	80
name3	d1	96
name4	d1	118
name1	d2	93
name2	d2	79
name3	d2	73
name4	d2	83

