name	treat	value	std	label
name1	a1	5	0.2	a
name2	a1	7	0.2	a
name3	a1	3	0.2	a
name4	a1	5	0.2	a
name1	a2	23	1	a
name2	a2	33	2	a
name3	a2	18	3	a
name4	a2	23	4	a
name1	a3	101	5	a
name2	a3	95	6	a
name3	a3	91	2	a
name4	a3	105	3	a
name1	b1	107	4	a
name2	b1	116	5	a
name3	b1	75	6	a
name4	b1	83	2	a
name1	b2	115	3	a
name2	b2	102	4	a
name3	b2	77	5	a
name4	b2	100	6	a
name1	b3	113	2	a
name2	b3	78	3	a
name3	b3	110	4	a
name4	b3	89	5	a
name1	c1	70	6	a
name2	c1	111	2	a
name3	c1	81	3	a
name4	c1	96	4	a
name1	c2	104	5	a
name2	c2	120	6	a
name3	c2	117	2	a
name4	c2	78	3	a
name1	c3	112	4	a
name2	c3	75	5	a
name3	c3	88	6	a
name4	c3	93	2	a
name1	d1	89	3	a
name2	d1	80	4	a
name3	d1	96	5	a
name4	d1	118	6	a
name1	d2	93	2	a
name2	d2	79	3	a
name3	d2	73	4	a
name4	d2	83	5	a

