group	name	var1	var2	var3	var4	var5	var6	var7	var8
group1	Sample1	6	13	16	17	29	36	43	99
group1	Sample2	9	19	15	14	20	23	52	92
group1	Sample3	8	15	18	13	37	37	47	102
group1	Sample4	1	19	15	14	24	27	52	86
group1	Sample5	5	14	14	16	38	24	51	105
group1	Sample6	6	11	11	14	20	36	44	83
group2	Sample7	8	14	19	19	23	21	49	72
group2	Sample8	6	20	10	19	40	32	55	117
group2	Sample9	1	10	12	14	20	27	44	110
group2	Sample10	5	17	13	14	36	28	49	109
group2	Sample11	7	19	18	18	40	22	52	96
group2	Sample12	7	15	13	15	39	25	60	101
group3	Sample13	7	18	11	19	37	37	56	71
group3	Sample14	9	19	15	15	28	32	45	108
group3	Sample15	9	19	12	11	30	40	49	73
group3	Sample16	9	16	14	13	34	21	52	102
group3	Sample17	1	19	19	19	32	38	48	93
group3	Sample18	4	14	18	10	24	28	42	109
