group x  y
a	1	0.145346
a	2	0.3993158
a	3	0.3031028
a	5	0.3121642
a	6	0.2218319
a	7	0.3192396
a	8	0.031528
a	9	0.206071
a	10	0.1367953
a	11	0.0127652
a	12	0.2793924
a	13	0.222923
a	14	0.176434
a	15	0.1411653
a	16	0.2446101
a	17	0.3482709
a	18	0.4115584
a	19	0.1850541
a	20	0.1484589
b	1	0.625
b	2	1.25
b	3	1.25
b	4	1.25
b	5	1.25
b	6	1.25
b	7	1.25
b	8	1.250083333
b	9	1.250166667
b	10	1.25025
b	11	1.250333333
b	12	1.250416667
c	13	1.25
c	14	1.25
c	15	1.25
c	16	1.25
a       A   0
b       B   0
c       C   0
