name	group	sample1	sample2	sample3	sample4	sample5	sample6	sample7
Gene1	Neurodevelopmental	0.057	0.289	0.462	0.202	0.087	0.45	0.932
Gene2	Neurodevelopmental	0.153	0.139	0.349	0.353	0.276	0.369	0.284
Gene8	Neurodevelopmental	0.108	0.463	0.412	0.277	0.084	0.343	0.091
Gene10	Neurodevelopmental	0.061	0.37	0.315	0.472	0.268	0.403	0.877
Gene13	Neurodevelopmental	0.378	0.366	0.141	0.027	0.277	0.139	0.388
Gene14	Neurodevelopmental	0.149	0.332	0.122	0.297	0.191	0.052	0.733
Gene19	Neurodevelopmental	0.152	0.058	0.335	0.072	0.448	0.169	0.736
Gene23	Neurodevelopmental	0.307	0.323	0.042	0.097	0.26	0.116	0.014
Gene32	Neurodevelopmental	0.103	0.073	0.272	0.131	0.386	0.479	0.527
Gene37	Neurodevelopmental	0.196	0.215	0.118	0.409	0.456	0.425	0.31
Gene39	Neurodevelopmental	0.269	0.278	0.264	0.461	0.227	0.391	0.929
Gene40	Neurodevelopmental	0.255	0.304	0.263	0.411	0.359	0.12	0.176
Gene41	Neurodevelopmental	0.074	0.306	0.128	0.158	0.337	0.453	0.809
Gene44	Neurodevelopmental	0.241	0.218	0.327	0.197	0.149	0.428	0.264
Gene45	Neurodevelopmental	0.303	0.066	0.437	0.32	0.139	0.212	0.762
Gene46	Neurodevelopmental	0.5	0.022	0.477	0.403	0.37	0.428	0.671
Gene3	Neurodevelopmental	0.458	0.298	0.299	0.074	0.344	0.037	0.82
Gene4	Neurodevelopmental	0.204	0.167	0.348	0.436	0.018	0.034	0.884
Gene7	Neurodevelopmental	0.133	0.232	0.275	0.248	0.105	0.051	0.72
Gene11	Neurodevelopmental	0.236	0.273	0.388	0.084	0.14	0.011	0.045
Gene12	Cardiovascular	0.066	0.349	0.024	0.438	0.138	0.209	0.363
Gene15	Cardiovascular	0.44	0.146	0.209	0.061	0.347	0.207	0.741
Gene28	Cardiovascular	0.349	0.206	0.431	0.437	0.09	0.075	0.201
Gene29	Cardiovascular	0.434	0.061	0.324	0.452	0.2	0.014	0.55
Gene30	Cardiovascular	0.163	0.015	0.151	0.096	0.085	0.456	0.345
Gene31	Cardiovascular	0.498	0.213	0.011	0.433	0.204	0.245	0.998
Gene33	Cardiovascular	0.44	0.115	0.307	0.349	0.056	0.337	0.19
Gene35	Cardiovascular	0.353	0.229	0.115	0.426	0.233	0.065	0.633
Gene36	Cardiovascular	0.449	0.011	0.113	0.145	0.219	0.28	0.191
Gene42	Cardiovascular	0.21	0.164	0.302	0.221	0.29	0.212	0.909
Gene48	Cardiovascular	0.273	0.337	0.175	0.053	0.15	0.375	0.123
Gene5	Cardiovascular	0.157	0.287	0.491	0.277	0.446	0.199	0.747
Gene6	Cardiovascular	0.039	0.275	0.468	0.217	0.427	0.143	0.74
Gene9	Cardiovascular	0.208	0.023	0.246	0.138	0.314	0.114	0.862
Gene16	Immune	0.024	0.147	0.079	0.457	0.264	0.276	0.07
Gene17	Immune	0.258	0.334	0.085	0.259	0.302	0.262	0.329
Gene18	Immune	0.066	0.499	0.31	0.047	0.156	0.414	0.307
Gene20	Immune	0.487	0.062	0.272	0.095	0.475	0.4	0.055
Gene21	Immune	0.45	0.179	0.343	0.445	0.27	0.464	0.821
Gene22	Immune	0.29	0.476	0.254	0.265	0.167	0.421	0.502
Gene24	Immune	0.278	0.074	0.126	0.418	0.087	0.062	0.681
Gene25	Immune	0.09	0.231	0.032	0.381	0.228	0.481	0.08
Gene26	Immune	0.219	0.219	0.213	0.394	0.101	0.403	0.522
Gene27	Immune	0.336	0.234	0.122	0.21	0.168	0.369	0.222
Gene34	Immune	0.07	0.145	0.365	0.269	0.46	0.486	0.063
Gene38	Immune	0.48	0.197	0.431	0.011	0.453	0.325	0.973
Gene43	Immune	0.109	0.439	0.081	0.184	0.095	0.308	0.864
Gene47	Immune	0.414	0.253	0.332	0.05	0.208	0.047	0.27

