gender	village	Chinese	Math	English
Male	yangJiaZ	107	93	99
Male	ganTang	73	97	92
Male	taQian	86	103	102
Male	baiDu	102	75	86
Male	jianTou	108	83	105
Male	zhouShang	101	81	83
Male	liLin	90	113	72
Male	duiFan	91	103	117
Male	yangJiaZ	89	101	110
Male	ganTang	84	95	109
Male	taQian	105	91	96
Male	baiDu	92	105	101
Male	jianTou	105	107	71
Male	zhouShang	80	116	108
Male	liLin	70	75	73
Male	duiFan	89	83	102
Male	yangJiaZ	101	115	93
Male	ganTang	107	102	109
Male	taQian	76	77	99
Male	baiDu	75	100	94
Male	jianTou	80	113	107
Male	zhouShang	74	78	118
Male	liLin	110	110	93
Male	duiFan	89	89	89
Female	yangJiaZ	80	70	94
Female	ganTang	91	111	89
Female	taQian	73	81	89
Female	baiDu	104	96	85
Female	jianTou	106	104	73
Female	zhouShang	84	120	94
Female	liLin	106	117	80
Female	duiFan	94	78	95
Female	yangJiaZ	92	112	111
Female	ganTang	71	75	70
Female	taQian	80	88	79
Female	baiDu	72	93	81
Female	jianTou	104	89	96
Female	zhouShang	90	80	71
Female	liLin	99	96	78
Female	duiFan	96	118	107
