row	col	corr	p	
var2	var1	0.232197868		
var4	var2	0.540868589	
var4	var3	-0.613315233	
var5	var1	0.424867517	
var5	var2	0.33898361	
var3	var1	-0.178182787	
var3	var2	-0.259272769		
var4	var1	0.523932676	*
var5	var3	-0.37358632	
var5	var4	0.495421292	
var6	var1	-0.443814936	
var6	var2	-0.53115416	
var6	var3	0.540048979	
var6	var4	-0.676059763	
var6	var5	-0.541915822	
var7	var1	-0.516956799	
var7	var2	-0.624426795	
var7	var3	0.633199897	
var7	var4	-0.7606589	
var7	var5	-0.674270252	
var7	var6	0.838580327	**
var8	var1	-0.477666411	
var8	var2	-0.466575127	
var8	var3	0.472491718	
var8	var4	-0.646733822	*
var8	var5	-0.320355162	
var8	var6	0.591881398	
var8	var7	0.618000095	
var9	var1	0.507947399	
var9	var2	0.61307586	*
var9	var3	-0.61701868	
var9	var4	0.751990634	**
var9	var5	0.659840225	
var9	var6	-0.821629305	
var9	var7	-0.926291622	**
var9	var8	-0.586850712	
var10	var1	0.50255403	
var10	var2	0.543794673	
var10	var3	-0.633839631	
var10	var4	0.762453317	**
var10	var5	0.675160181	
var10	var6	-0.732930789	**
var10	var7	-0.888646916	**
var10	var8	-0.65403998	
var10	var9	0.908708744	**
var11	var1	0.314779109	
var11	var2	0.328914947	
var11	var3	-0.400633982	
var11	var4	0.468899767	
var11	var5	0.357342218	
var11	var6	-0.389178068	
var11	var7	-0.536709376	
var11	var8	-0.279919719	
var11	var9	0.416765337	
var11	var10	0.422316614	
var12	var1	-0.328900647	
var12	var2	-0.596222865	
var12	var3	0.537722873	
var12	var4	-0.604427473	
var12	var5	-0.464290002	
var12	var6	0.621428417	
var12	var7	0.752371604	**
var12	var8	0.457474989	
var12	var9	-0.743912939	
var12	var10	-0.666957316	
var12	var11	-0.266199233	
var13	var1	-0.543367948	
var13	var2	-0.497316626	
var13	var3	0.629739646	
var13	var4	-0.685323251	**
var13	var5	-0.614299124	
var13	var6	0.726098355	
var13	var7	0.83331254	**
var13	var8	0.550987739	
var13	var9	-0.835858347	
var13	var10	-0.830203508	
var13	var11	-0.329099754	
var13	var12	0.662600252	
var14	var1	-0.424788948	
var14	var2	-0.40123606	
var14	var3	0.679148751	
var14	var4	-0.625895736	
var14	var5	-0.414033161	
var14	var6	0.539302879	
var14	var7	0.736303455	
var14	var8	0.581419154	
var14	var9	-0.662811595	
var14	var10	-0.753211115	
var14	var11	-0.395349418	
var14	var12	0.610620593	
var14	var13	0.59671535	
var15	var1	-0.548755436	
var15	var2	-0.31032684	
var15	var3	0.566297639	
var15	var4	-0.612733353	
var15	var5	-0.365497077	
var15	var6	0.498105947	
var15	var7	0.572521303	
var15	var8	0.545278402	
var15	var9	-0.597699589	
var15	var10	-0.64402863	
var15	var11	-0.423676985	
var15	var12	0.361619735	
var15	var13	0.504244518	
var15	var14	0.59207555	
var16	var1	-0.196950102	
var16	var2	-0.284780053	
var16	var3	0.302591368	
var16	var4	-0.336047808	
var16	var5	-0.525370607	
var16	var6	0.448112435	
var16	var7	0.534396204	
var16	var8	0.304901244	
var16	var9	-0.597761177	
var16	var10	-0.556997011	
var16	var11	-0.210276061	
var16	var12	0.403702858	
var16	var13	0.46923879	
var16	var14	0.503323327	
var16	var15	0.34896584	
