row	col	corr	p
var2	var1	0.232197868	0.0001
var4	var2	0.540868589	0.02
var4	var3	-0.613315233	0.1
var5	var1	0.424867517	0.001
var5	var2	0.33898361	0.02
var3	var1	-0.178182787	0.1
var3	var2	-0.259272769	0.0001
var4	var1	0.523932676	0.02
var5	var3	-0.37358632	0.1
var5	var4	0.495421292	0.001
var6	var1	-0.443814936	0.02
var6	var2	-0.53115416	0.1
var6	var3	0.540048979	0.001
var6	var4	-0.676059763	0.02
var6	var5	-0.541915822	0.1
var7	var1	-0.516956799	0.001
var7	var2	-0.624426795	0.02
var7	var3	0.633199897	0.1
var7	var4	-0.7606589	0.0001
var7	var5	-0.674270252	0.02
var7	var6	0.838580327	0.1
var8	var1	-0.477666411	0.001
var8	var2	-0.466575127	0.02
var8	var3	0.472491718	0.1
var8	var4	-0.646733822	0.0001
var8	var5	-0.320355162	0.02
var8	var6	0.591881398	0.1
var8	var7	0.618000095	0.001
var9	var1	0.507947399	0.02
var9	var2	0.61307586	0.1
var9	var3	-0.61701868	0.001
var9	var4	0.751990634	0.02
var9	var5	0.659840225	0.1
var9	var6	-0.821629305	0.001
var9	var7	-0.926291622	0.02
var9	var8	-0.586850712	0.1
var10	var1	0.50255403	0.0001
var10	var2	0.543794673	0.02
var10	var3	-0.633839631	0.1
var10	var4	0.762453317	0.001
var10	var5	0.675160181	0.02
var10	var6	-0.732930789	0.1
var10	var7	-0.888646916	0.0001
var10	var8	-0.65403998	0.02
var10	var9	0.908708744	0.1
var11	var1	0.314779109	0.001
var11	var2	0.328914947	0.02
var11	var3	-0.400633982	0.1
var11	var4	0.468899767	0.001
var11	var5	0.357342218	0.02
var11	var6	-0.389178068	0.1
var11	var7	-0.536709376	0.001
var11	var8	-0.279919719	0.02
var11	var9	0.416765337	0.1
var11	var10	0.422316614	0.0001
var12	var1	-0.328900647	0.02
var12	var2	-0.596222865	0.1
var12	var3	0.537722873	0.001
var12	var4	-0.604427473	0.02
var12	var5	-0.464290002	0.1
var12	var6	0.621428417	0.0001
var12	var7	0.752371604	0.02
var12	var8	0.457474989	0.1
var12	var9	-0.743912939	0.001
var12	var10	-0.666957316	0.02
var12	var11	-0.266199233	0.1
var13	var1	-0.543367948	0.001
var13	var2	-0.497316626	0.02
var13	var3	0.629739646	0.1
var13	var4	-0.685323251	0.001
var13	var5	-0.614299124	0.02
var13	var6	0.726098355	0.1
var13	var7	0.83331254	0.0001
var13	var8	0.550987739	0.02
var13	var9	-0.835858347	0.1
var13	var10	-0.830203508	0.001
var13	var11	-0.329099754	0.02
var13	var12	0.662600252	0.1
var14	var1	-0.424788948	0.0001
var14	var2	-0.40123606	0.02
var14	var3	0.679148751	0.1
var14	var4	-0.625895736	0.001
var14	var5	-0.414033161	0.02
var14	var6	0.539302879	0.1
var14	var7	0.736303455	0.001
var14	var8	0.581419154	0.02
var14	var9	-0.662811595	0.1
var14	var10	-0.753211115	0.001
var14	var11	-0.395349418	0.02
var14	var12	0.610620593	0.1
var14	var13	0.59671535	0.0001
var15	var1	-0.548755436	0.02
var15	var2	-0.31032684	0.1
var15	var3	0.566297639	0.001
var15	var4	-0.612733353	0.02
var15	var5	-0.365497077	0.1
var15	var6	0.498105947	0.0001
var15	var7	0.572521303	0.02
var15	var8	0.545278402	0.1
var15	var9	-0.597699589	0.001
var15	var10	-0.64402863	0.02
var15	var11	-0.423676985	0.1
var15	var12	0.361619735	0.001
var15	var13	0.504244518	0.02
var15	var14	0.59207555	0.1
var16	var1	-0.196950102	0.001
var16	var2	-0.284780053	0.02
var16	var3	0.302591368	0.1
var16	var4	-0.336047808	0.0001
var16	var5	-0.525370607	0.02
var16	var6	0.448112435	0.1
var16	var7	0.534396204	0.001
var16	var8	0.304901244	0.02
var16	var9	-0.597761177	0.1
var16	var10	-0.556997011	0.0001
var16	var11	-0.210276061	0.02
var16	var12	0.403702858	0.1
var16	var13	0.46923879	0.001
var16	var14	0.503323327	0.02
var16	var15	0.34896584	0.1
