name	group	value1	value2	value3
name1	a11111111111111111	5	5	5
name2	a11111111111111111	7	7	7
name3	a11111111111111111	3	3	3
name4	a11111111111111111	5	5	5
name1	a2	23	23	23
name2	a2	33	33	33
name3	a2	18	18	18
name4	a2	23	23	23
name1	a3	101	101	101
name2	a3	95	95	95
name3	a3	91	91	91
name4	a3	105	105	105
name1	b1	107	107	107
name2	b1	116	116	116
name3	b1	75	75	75
name4	b1	83	83	83
name1	b2	115	115	115
name2	b2	102	102	102
name3	b2	77	77	77
name4	b2	100	100	100
name1	b3	113	113	113
name2	b3	78	78	78
name3	b3	110	110	110
name4	b3	89	89	89
