name	village	value
name1	yangJiaZ	3
name2	ganTang	6
name3	taQian	2
name4	baiDu	3
name5	jianTou	5
name6	zhouShang	2
name7	liLin	2
name8	duiFan	5
name9	yangJiaZ	3
name10	ganTang	9
name11	taQian	2
name12	baiDu	4
name13	jianTou	4
name14	zhouShang	5
name15	liLin	9
name16	duiFan	7
name17	yangJiaZ	9
name18	ganTang	3
name19	taQian	8
name20	baiDu	3
name21	jianTou	4
name22	zhouShang	2
name23	liLin	4
name24	duiFan	4
name25	yangJiaZ	6
name26	ganTang	1
name27	taQian	7
name28	baiDu	4
name29	jianTou	4
name30	zhouShang	2
name31	liLin	4
name32	duiFan	5
name33	yangJiaZ	2
name34	ganTang	1
name35	taQian	8
name36	baiDu	1
name37	jianTou	1
name38	zhouShang	7
name39	liLin	7
name40	duiFan	2
