Sample	varN1	varN2	varN3	varN4	varN5	varN6	varN7	varN8	varN9	varN10	varN11	varN12	varN13
Sample1	0.83	0.26	0.04	-0.98	0	0.77	-0.58	0.22	0.31	-0.11	0.58	0.47	0.58
Sample2	-0.79	-0.22	-0.86	0.23	-0.18	-0.35	-0.23	0.76	-0.39	-0.02	-0.39	0.36	-0.24
Sample3	-0.97	0.04	0.28	0	-0.28	0.36	-0.73	-0.14	0.82	0.52	-0.98	0.95	0.76
Sample4	0	-0.01	0.31	0.87	0.9	-0.95	-0.06	-0.81	-0.31	-0.87	-0.17	0.22	-0.44
Sample5	0.03	-0.16	0.53	0.94	0.94	-0.48	0.78	0.79	-0.37	0.21	0.98	-0.71	0.1
Sample6	0.77	0.7	0.91	0.73	0.06	0.47	-0.15	0.74	0.4	0.93	-0.76	-0.31	0.44
Sample7	0.52	0.66	0.65	-0.8	-0.44	-0.46	-0.32	-0.75	-0.29	0.68	0.24	-0.58	0.19
Sample8	0.71	0.2	-0.99	0.2	-0.3	-0.46	0.39	0.36	-0.69	-0.16	0.56	0.24	0.41
Sample9	0.65	-0.31	-0.99	0.05	0.45	0.7	0.17	0.72	-0.56	0.26	-0.97	0.74	0.19
Sample10	0.74	0.63	0.22	0.84	-0.97	-0.49	-0.51	0.82	0.54	-0.92	-0.52	0.36	-0.03
Sample11	-0.71	-0.49	-0.18	-0.81	-0.69	-0.65	-0.21	-0.82	-0.37	-0.82	0.34	0.84	-0.42
Sample12	0.03	-0.96	-0.03	-0.12	0.79	-0.08	0.84	0.15	0.15	-0.75	0.37	-0.2	-0.82
Sample13	0.74	-0.53	-0.16	-0.68	0.99	-0.41	-0.52	0.48	0.97	-0.14	-0.53	0.65	0.98
Sample14	-0.96	0.05	-0.57	0.49	0.12	0.23	-0.82	0.15	0.77	0.24	0.87	0.49	-0.33
Sample15	0.37	0.11	0.94	0.63	-0.87	-0.47	0.65	-0.26	-0.05	-0.5	-0.94	-0.17	0.96
