name	value	group
name1	-20	Before Treatment
name3	-18	Before Treatment
name5	-16	Before Treatment
name7	-14	Before Treatment
name8	-13	Before Treatment
name10	-11	Before Treatment
name11	-10	Before Treatment
name13	-8	Before Treatment
name14	-7	Before Treatment
name16	-5	Before Treatment
name17	-4	Before Treatment
name18	-3	Before Treatment
name20	-1	Before Treatment
name22	1	Before Treatment
name25	4	Before Treatment
name26	5	Before Treatment
name27	16	Before Treatment
name28	17	Before Treatment
name29	18	Before Treatment
name30	9	Before Treatment
name31	10	Before Treatment
name32	11	Before Treatment
name33	12	Before Treatment
name35	26	Before Treatment
name36	47	Before Treatment
name37	38	Before Treatment
name38	49	Before Treatment
name39	-10	After Treatment
name40	-9	After Treatment
name41	-8	After Treatment
name42	-7	After Treatment
name43	-6	After Treatment
name44	-5	After Treatment
name45	-4	After Treatment
name46	-3	After Treatment
name47	-2	After Treatment
name48	-1	After Treatment
name49	0	After Treatment
name50	1	After Treatment
name51	2	After Treatment
name52	3	After Treatment
name53	4	After Treatment
name54	15	After Treatment
name55	26	After Treatment
name56	37	After Treatment
name57	38	After Treatment
name58	49	After Treatment
