group	name	x	y
g1	Name1	86.06	135.14
g1	Name2	57.63	105.63
g1	Name3	32.79	105.31
g1	Name4	62.72	119.5
g1	Name5	85.91	130.82
g1	Name6	43.82	105.76
g1	Name7	89.86	125.75
g1	Name8	76.78	131.66
g1	Name9	90.43	129.05
g1	Name10	74.05	129.13
g2	Name1	83.7	98.4
g2	Name2	89.85	76.4
g2	Name3	25.77	125.45
g2	Name4	88.64	82.4
g2	Name5	76.4	99.56
g2	Name6	22.43	127.98
g2	Name7	88.05	86.84
g2	Name8	90.3	79.69
g2	Name9	94.7	85.66
g2	Name10	77.73	98.09
g3	Name1	47.27	32.17
g3	Name2	76.03	52.55
g3	Name3	73.79	32.69
g4	Name4	47.21	41.52
g4	Name5	77.24	44.31
g4	Name6	74.97	46.29
g5	Name7	31.27	30.73
g5	Name8	70.76	34.71
g6	Name9	73.87	36.91
g6	Name10	57.16	38.54
