name	varN1	varN2	varN3	varN4	varN5	varN6	varN7	varN8
Sample1	0.83	0.26	0.04	-0.98	0	0.77	-0.58	0.22
Sample2	-0.79	-0.22	-0.86	0.23	-0.18	-0.35	-0.23	0.76
Sample3	-0.97	0.04	0.28	0	-0.28	0.36	-0.73	-0.14
Sample4	0	-0.01	0.31	0.87	0.9	-0.95	-0.06	-0.81
Sample5	0.03	-0.16	0.53	0.94	0.94	-0.48	0.78	0.79
Sample6	0.77	0.7	0.91	0.73	0.06	0.47	-0.15	0.74
Sample7	0.52	0.66	0.65	-0.8	-0.44	-0.46	-0.32	-0.75
Sample8	0.71	0.2	-0.99	0.2	-0.3	-0.46	0.39	0.36
Sample9	0.65	-0.31	-0.99	0.05	0.45	0.7	0.17	0.72
Sample10	0.74	0.63	0.22	0.84	-0.97	-0.49	-0.51	0.82
Sample11	-0.71	-0.49	-0.18	-0.81	-0.69	-0.65	-0.21	-0.82

