group	name	var1	var2	var3	var4	var5	var6	var7	var8	var9
group1	Sample1	7.31	79.39	31.38	74.06	83.86	24.22	23.25	27.52	78
group1	Sample2	3.82	73.47	26.67	72.07	69.65	29.68	30.46	35.53	68.11
group1	Sample3	5.47	73.66	38.53	68.53	58.05	37.14	33.59	29.06	68.16
group1	Sample4	3.79	72.58	33	67.18	62.48	33.54	36.05	27.1	64.32
group1	Sample5	8.74	70.55	20.41	80.45	76.36	23.05	23.16	25.91	77.1
group1	Sample6	3.09	57.03	36.74	61.83	66.98	39.74	35.83	37.17	64.18
group2	Sample1	81.29	80.99	29.21	76.88	78.23	21.52	22.96	21.59	77.34
group2	Sample2	72.92	73.91	37.2	70.75	60.87	29.38	31.1	30.28	65.94
group2	Sample3	64.21	68.57	39.94	71.21	70.64	31.9	34.47	37.32	66.1
group2	Sample4	71.02	55.69	38.3	67.34	67.95	32.65	36.26	36.08	64.01
group2	Sample5	69.69	75.92	26.32	74.39	68.42	28.7	28.45	19.23	70.17
group2	Sample6	77.74	66.97	35.24	70.61	77.37	30.62	31.72	32.98	70.98
