Group	TissueA	TissueB
A	13.4	68.4
A	27.3	11.8
A	24.5	9.6
A	20.9	15.7
A	15.4	67.2
A	67.6	9.5
A	11.7	59.8
A	12.6	32.9
A	4.9	13.4
A	23.7	14.3
A	72.2	20.2
A	21.4	11.4
A	34.8	20.9
A	13.1	40.5
A	35.3	73.4
A	72	34.2
A	24.3	20.5
A	20	51
A	15.7	41.1
A	65.6	12.6
A	21.5	18.7
A	33.2	47.8
A	64.7	18
A	17.3	20.8
A	11.8	17.2
A	23.9	62.6
A	9.3	7
A	10.7	12.9
A	17.4	29.4
A	7.9	27.1
A	17.4	30.8
A	24.7	28
A	15.5	58.1
A	33.1	39.8
A	14.7	5.4
A	19.9	29.5
A	34.7	13.2
A	23.6	29.2
A	15.4	12.8
A	15.6	19.8
A	11.2	14.1
A	15.8	17.2
A	45.1	11.2
A	5.1	10.8
A	79.6	65.2
A	14.5	16.3
B	23.2	11.2
B	13.8	24.6
B	69	21.9
B	7.1	23.6
B	55	38
B	16.9	28.1
B	73.5	25.8
B	16.6	54
B	43.8	16.9
B	93	31.2
B	13.6	33.8
B	24.3	17.8
B	17.8	4.4
B	17.6	44.9
B	19.8	79.2
B	13	15.1
B	15.2	8.9
B	22.4	29.2
B	11.7	73.1
B	8	43.2
B	39	19.6
B	15.7	11.8
B	8	71.1
B	17	64.1
B	9.3	13.6
B	6.8	24.9
B	14.7	26.6
B	18.4	64.6
B	17.1	14.2
B	13	17.5
B	8.7	17.3
B	53.2	28.4
B	15.4	66.9
B	14.3	9.1
B	53.9	36.2
B	16.6	27.3
B	48.5	13.3
B	48.3	8.3
B	24.1	22.6
B	25.9	18
B	14.8	7
B	11.1	9.9
B	16.2	32.3
B	64.2	74.6
B	13.5	13.5
B	18.8	17
B	13.1	26.3
B	13.5	13.8
B	14.2	14.3
