name	value	density
Sample1	4.9	0.01533346
Sample1	7.475862069	0.019344393
Sample1	10.05172414	0.023055033
Sample1	12.62758621	0.025997523
Sample1	15.20344828	0.02779108
Sample1	17.77931034	0.028235287
Sample1	20.35517241	0.027353337
Sample1	22.93103448	0.025370212
Sample1	25.50689655	0.022637164
Sample1	28.08275862	0.019534095
Sample1	30.65862069	0.016386219
Sample1	33.23448276	0.013419618
Sample1	35.81034483	0.010759742
Sample1	38.3862069	0.008458715
Sample1	40.96206897	0.006530315
Sample1	43.53793103	0.004976471
Sample1	46.1137931	0.003799667
Sample1	48.68965517	0.003003612
Sample1	51.26551724	0.002586598
Sample1	53.84137931	0.002530653
Sample1	56.41724138	0.002789415
Sample1	58.99310345	0.003279652
Sample1	61.56896552	0.003882804
Sample1	64.14482759	0.004460506
Sample1	66.72068966	0.004881581
Sample1	69.29655172	0.005051288
Sample1	71.87241379	0.004931329
Sample1	74.44827586	0.004543049
Sample1	77.02413793	0.003954025
Sample1	79.6	0.003254959
Sample2	5.4	0.015208611
Sample2	7.744827586	0.018502952
Sample2	10.08965517	0.021379738
Sample2	12.43448276	0.023517167
Sample2	14.77931034	0.024701997
Sample2	17.12413793	0.024876874
Sample2	19.46896552	0.024142742
Sample2	21.8137931	0.022717013
Sample2	24.15862069	0.020865705
Sample2	26.50344828	0.01883626
Sample2	28.84827586	0.016813475
Sample2	31.19310345	0.014907361
Sample2	33.53793103	0.013167057
Sample2	35.88275862	0.011606507
Sample2	38.22758621	0.010228098
Sample2	40.57241379	0.009036752
Sample2	42.91724138	0.008043851
Sample2	45.26206897	0.007264104
Sample2	47.60689655	0.006708817
Sample2	49.95172414	0.006377898
Sample2	52.29655172	0.006252321
Sample2	54.64137931	0.006289066
Sample2	56.9862069	0.006420987
Sample2	59.33103448	0.006563449
Sample2	61.67586207	0.006627562
Sample2	64.02068966	0.006537236
Sample2	66.36551724	0.006245196
Sample2	68.71034483	0.005742921
Sample2	71.05517241	0.005061233
Sample2	73.4	0.004261413
Sample3	6.8	0.02158515
Sample3	9.772413793	0.026238049
Sample3	12.74482759	0.029301826
Sample3	15.71724138	0.030092909
Sample3	18.68965517	0.028464539
Sample3	21.66206897	0.024864766
Sample3	24.63448276	0.020163096
Sample3	27.60689655	0.015340469
Sample3	30.57931034	0.011193595
Sample3	33.55172414	0.00816734
Sample3	36.52413793	0.006341147
Sample3	39.49655172	0.005522867
Sample3	42.46896552	0.00538036
Sample3	45.44137931	0.005559466
Sample3	48.4137931	0.005767107
Sample3	51.3862069	0.005817594
Sample3	54.35862069	0.005644325
Sample3	57.33103448	0.00527848
Sample3	60.30344828	0.004802097
Sample3	63.27586207	0.004294713
Sample3	66.24827586	0.003798447
Sample3	69.22068966	0.003316364
Sample3	72.19310345	0.002837667
Sample3	75.16551724	0.002366774
Sample3	78.13793103	0.001933917
Sample3	81.11034483	0.001580994
Sample3	84.08275862	0.001334828
Sample3	87.05517241	0.001187825
Sample3	90.02758621	0.001099448
Sample3	93	0.001016994
Sample4	4.4	0.012791472
Sample4	6.979310345	0.016018941
Sample4	9.55862069	0.019049619
Sample4	12.13793103	0.021583232
Sample4	14.71724138	0.023385408
Sample4	17.29655172	0.024327287
Sample4	19.87586207	0.024392284
Sample4	22.45517241	0.023654873
Sample4	25.03448276	0.022247503
Sample4	27.6137931	0.020331734
Sample4	30.19310345	0.018080379
Sample4	32.77241379	0.015667165
Sample4	35.35172414	0.013256845
Sample4	37.93103448	0.010992702
Sample4	40.51034483	0.008984591
Sample4	43.08965517	0.00730313
Sample4	45.66896552	0.005982577
Sample4	48.24827586	0.005029597
Sample4	50.82758621	0.004431931
Sample4	53.40689655	0.004162091
Sample4	55.9862069	0.004175337
Sample4	58.56551724	0.004405468
Sample4	61.14482759	0.004763824
Sample4	63.72413793	0.005145576
Sample4	66.30344828	0.005443812
Sample4	68.88275862	0.005568023
Sample4	71.46206897	0.005461309
Sample4	74.04137931	0.005110779
Sample4	76.62068966	0.004547867
Sample4	79.2	0.003838568
