group	name	value	value2	value3	std	std2	std3	lab	lab2	lab3
g1	s1	20	50	107	6	5	7	a	a	a
g1	s2	21	51	73	9	5	7	a	a	a
g1	s3	22	52	86	8	5	7	a	a	a
g1	s4	23	53	102	1	5	7	a	a	a
g1	s5	24	54	108	5	5	7	a	a	a
g2	s1	25	55	101	6	5	7	a	a	a
g2	s2	26	56	90	8	5	7	a	a	a
g2	s3	27	57	91	6	5	7	a	a	a
g2	s4	28	58	89	1	5	7	a	a	a
g2	s5	29	59	84	5	5	7	a	a	a
g3	s1	30	60	105	7	5	7	a	a	a
g3	s2	31	61	92	7	5	7	a	a	a
g3	s3	32	62	105	7	5	7	a	a	a
g3	s4	33	63	80	9	5	7	a	a	a
g3	s5	34	64	70	9	5	7	a	a	a
g4	s1	35	65	89	9	5	7	a	a	a
g4	s2	36	66	101	1	5	7	a	a	a
g4	s3	37	67	107	4	5	7	a	a	a
g4	s4	38	68	76	4	5	7	a	a	a
g4	s5	39	69	75	7	5	7	a	a	a
g5	s1	40	70	80	5	5	7	a	a	a
g5	s2	41	71	74	1	5	7	a	a	a
g5	s3	42	72	110	8	5	7	a	a	a
g5	s4	43	73	89	2	5	7	a	a	a
g5	s5	44	74	80	8	5	7	a	a	a
