name	group	Math	English	Physics	Chemistry	Politics	Biology	Geography	History	Running	Jumping	Swimming	Basketball	Football	Badminton	Table Tennis
name1	group1	0.83	0.26	0.04	-0.98	0	0.77	-0.58	0.22	0.31	-0.11	0.58	0.47	-0.98	0	0.77
name2	group1	-0.79	-0.22	-0.86	0.23	-0.18	-0.35	-0.23	0.76	-0.39	-0.02	-0.39	0.36	0.23	-0.18	-0.35
name3	group1	-0.97	0.04	0.28	0	-0.28	0.36	-0.73	-0.14	0.82	0.52	-0.98	0.95	0	-0.28	0.36
name4	group1	0	-0.01	0.31	0.87	0.9	-0.95	-0.06	-0.81	-0.31	-0.87	-0.17	0.22	0.87	0.9	-0.95
name5	group1	0.03	-0.16	0.53	0.94	0.94	-0.48	0.78	0.79	-0.37	0.21	0.98	-0.71	0.94	0.94	-0.48
name6	group1	0.77	0.7	0.91	0.73	0.06	0.47	-0.15	0.74	0.4	0.93	-0.76	-0.31	0.73	0.06	0.47
name7	group1	0.52	0.66	0.65	-0.8	-0.44	-0.46	-0.32	-0.75	-0.29	0.68	0.24	-0.58	-0.8	-0.44	-0.46
name8	group1	0.71	0.2	-0.99	0.2	-0.3	-0.46	0.39	0.36	-0.69	-0.16	0.56	0.24	0.2	-0.3	-0.46
name9	group1	0.65	-0.31	-0.99	0.05	0.45	0.7	0.17	0.72	-0.56	0.26	-0.97	0.74	0.05	0.45	0.7
name10	group2	0.74	0.63	0.22	0.84	-0.97	-0.49	-0.51	0.82	0.54	-0.92	-0.52	0.36	0.84	-0.97	-0.49
name11	group2	-0.71	-0.49	-0.18	-0.81	-0.69	-0.65	-0.21	-0.82	-0.37	-0.82	0.34	0.84	-0.81	-0.69	-0.65
name12	group2	0.83	0.26	0.04	-0.98	0	0.77	-0.58	0.22	0.31	-0.11	0.58	0.47	-0.98	0	0.77
name13	group2	-0.79	-0.22	-0.86	0.23	-0.18	-0.35	-0.23	0.76	-0.39	-0.02	-0.39	0.36	0.23	-0.18	-0.35
name14	group2	-0.97	0.04	0.28	0	-0.28	0.36	-0.73	-0.14	0.82	0.52	-0.98	0.95	0	-0.28	0.36
name15	group2	0	-0.01	0.31	0.87	0.9	-0.95	-0.06	-0.81	-0.31	-0.87	-0.17	0.22	0.87	0.9	-0.95
name16	group2	0.03	-0.16	0.53	0.94	0.94	-0.48	0.78	0.79	-0.37	0.21	0.98	-0.71	0.94	0.94	-0.48
name17	group2	0.77	0.7	0.91	0.73	0.06	0.47	-0.15	0.74	0.4	0.93	-0.76	-0.31	0.73	0.06	0.47
name18	group2	0.52	0.66	0.65	-0.8	-0.44	-0.46	-0.32	-0.75	-0.29	0.68	0.24	-0.58	-0.8	-0.44	-0.46
name19	group2	0.71	0.2	-0.99	0.2	-0.3	-0.46	0.39	0.36	-0.69	-0.16	0.56	0.24	0.2	-0.3	-0.46
