group	x	y
A	1.0	2.5
A	1.5	3.0
A	2.0	3.0
A	2.5	2.5
A	3.0	1.5
A	3.5	1.0
A	4.0	1.5
A	4.5	2.5
A	5.0	3.5
A	5.5	4.0
A	6.0	4.0
A	6.5	3.5
A	7.0	2.5
A	7.5	1.5
A	8.0	1.0
A	8.5	1.5
A	9.0	2.5
A	9.5	3.0
B	1.0	3.0
B	1.5	3.5
B	2.0	3.5
B	2.5	3.0
B	3.0	2.0
B	3.5	1.5
B	4.0	2.0
B	4.5	3.0
B	5.0	4.0
B	5.5	4.5
B	6.0	4.5
B	6.5	4.0
B	7.0	3.0
B	7.5	2.0
B	8.0	1.5
B	8.5	2.0
B	9.0	3.0
B	9.5	3.5
C	1.0	2.0
C	1.5	2.5
C	2.0	2.5
C	2.5	2.0
C	3.0	1.0
C	3.5	0.5
C	4.0	1.0
C	4.5	2.0
C	5.0	3.0
C	5.5	3.5
C	6.0	3.5
C	6.5	3.0
C	7.0	2.0
C	7.5	1.0
C	8.0	0.5
C	8.5	1.0
C	9.0	2.0
C	9.5	2.5
