group	name	value	density
group1	a	1	0.01
group1	a	2	0.02
group1	a	3	0.1
group1	a	4	0.2
group1	a	5	0.3
group1	a	6	0.2
group1	a	7	0.1
group1	a	8	0.04
group1	a	9	0.02
group1	a	10	0.01
group1	b	1	0.01
group1	b	2	0.02
group1	b	3	0.1
group1	b	4	0.2
group1	b	5	0.3
group1	b	6	0.2
group1	b	7	0.1
group1	b	8	0.04
group1	b	9	0.02
group1	b	10	0.01
group2	c	1	0.01
group2	c	2	0.02
group2	c	3	0.1
group2	c	4	0.2
group2	c	5	0.3
group2	c	6	0.2
group2	c	7	0.1
group2	c	8	0.04
group2	c	9	0.02
group2	c	10	0.01
group2	d	1	0.01
group2	d	2	0.02
group2	d	3	0.1
group2	d	4	0.2
group2	d	5	0.3
group2	d	6	0.2
group2	d	7	0.1
group2	d	8	0.04
group2	d	9	0.02
group2	d	10	0.01
