group	name	value
group1	a	4
group1	a	5
group1	a	6
group1	a	7
group1	a	8
group1	a	4
group1	a	5
group1	a	5
group1	a	6
group1	a	6
group1	a	7
group1	a	5
group1	a	5
group1	a	5
group1	a	3
group1	a	4
group1	a	5
group1	a	6
group1	a	7
group1	b	4
group1	b	5
group1	b	6
group1	b	7
group1	b	8
group1	b	4
group1	b	5
group1	b	5
group1	b	6
group1	b	6
group1	b	7
group1	b	5
group1	b	5
group1	b	5
group1	b	3
group1	b	4
group1	b	5
group1	b	6
group2	b	7
group2	c	5
group2	c	4
group2	c	5
group2	c	6
group2	c	7
group2	c	8
group2	c	4
group2	c	5
group2	c	5
group2	c	6
group2	c	6
group2	c	7
group2	c	5
group2	c	5
group2	c	5
group2	c	3
group2	c	4
group2	c	5
group2	c	6
group2	c	7
group2	d	5
group2	d	4
group2	d	5
group2	d	6
group2	d	7
group2	d	8
group2	d	4
group2	d	5
group2	d	5
group2	d	6
group2	d	6
group2	d	7
group2	d	5
group2	d	5
group2	d	5
group2	d	3
group2	d	4
group2	d	5
group2	d	6
group2	d	7
