Source	Target	rValue
Name1	Name2	-0.64
Name2	Name1	0.61
Name3	Name4	-0.06
Name4	Name5	-0.03
Name5	Name6	-0.08
Name6	Name7	-0.6
Name7	Name8	0.65
Name8	Name9	0.04
Name9	Name2	0.24
Name1	Name3	-0.79
Name2	Name4	0.1
Name3	Name5	0.07
Name4	Name6	0
Name5	Name7	0.6
Name6	Name8	0.17
Name7	Name9	0.1
name20	Name8	0.61
name21	Name9	-0.06
name22	Name2	-0.03
name23	Name3	-0.08
name24	Name4	-0.6
name25	Name5	0.65
name26	Name6	0.04
name27	Name7	0.24
name28	Name8	0.79
name29	Name9	0.1
name30	Name8	0.07
name31	Name9	0
name32	Name2	0.6
name33	Name3	0.17
name34	Name4	0.1
name35	Name5	0.61
name36	Name6	-0.06
name37	Name7	-0.03
name38	Name8	-0.08
name39	Name9	-0.6
name40	Name2	0.65
name41	Name1	0.04
name42	Name4	0.24
name43	Name5	0.79
name44	Name6	0.1
name45	Name7	0.07
name46	Name8	0
name47	Name9	0.6
name48	Name2	0.17
name49	Name3	0.1
name50	Name4	0.6
name51	Name5	0.17
name52	Name6	0.1
name53	Name7	0.61
name54	Name8	-0.06
name55	Name9	-0.03
name56	Name8	-0.08
name57	Name9	-0.6
